t,cash,equity,unrealized_pnl,realized_pnl,open_positions
2026-02-05T10:00:00Z,67305.00,99788.75,-211.25,0.00,1
2026-02-06T10:00:00Z,67305.00,97871.25,-2128.75,0.00,1
2026-02-10T10:00:00Z,67305.00,97452.00,-2548.00,0.00,1
2026-02-11T10:00:00Z,67305.00,97042.50,-2957.50,0.00,1
2026-02-12T10:00:00Z,67305.00,92323.50,-7676.50,0.00,1
2026-02-13T10:00:00Z,67305.00,95801.00,-4199.00,0.00,1
