date,equity,equity_mid,cash,unrealized_pnl,realized_pnl,peak,drawdown,drawdown_pct,daily_pnl,open_positions
2026-06-20T12:12:43Z,99934.00,99945.38,101731.25,-26.00,0.00,100000.00,-66.00,-0.07,0.00,1
2026-06-20T12:13:44Z,99934.00,99945.38,101731.25,-26.00,0.00,100000.00,-66.00,-0.07,0.00,1
2026-06-20T12:14:44Z,99934.00,99945.38,101731.25,-26.00,0.00,100000.00,-66.00,-0.07,0.00,1
2026-06-20T12:15:44Z,99934.00,99945.38,101731.25,-26.00,0.00,100000.00,-66.00,-0.07,0.00,1
2026-06-20T12:16:44Z,99934.00,99945.38,101731.25,-26.00,0.00,100000.00,-66.00,-0.07,0.00,1
2026-06-20T12:17:44Z,99934.00,99945.38,101731.25,-26.00,0.00,100000.00,-66.00,-0.07,0.00,1
