CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,1,-,2,-,"2,855.55",75.85,650,"2,831.90","2,853.80",130,"23,100.00",910,2.30,2.35,"3,900",-0.80,2.35,34.07,"73,096","26,684","46,993",
,1,-,1,-,"2,811.30",78.85,650,"2,733.30","2,853.10",650,"23,150.00","1,300",2.20,2.50,"1,040",-1.25,2.30,33.42,"9,120","2,718","3,051",
,7,2,4,-,"2,730.25",52.70,"1,300","2,683.60","2,803.10",130,"23,200.00",260,2.40,2.50,"6,110",-1.55,2.35,32.95,"24,034","10,119","12,068",
,3,-,-,-,"2,442.55",-5.75,650,"2,633.80","2,753.20",650,"23,250.00",130,2.40,2.50,520,-1.50,2.50,32.62,"1,127",438,665,
,10,-,3,-,"2,666.85",139.50,65,"2,584.10","2,655.80",130,"23,300.00",195,2.40,2.50,260,-1.85,2.50,32.06,"12,264","2,936","5,142",
,3,-,1,-,"2,608.85",69.85,650,"2,534.45","2,653.20",650,"23,350.00",585,2.50,2.70,260,-2.65,2.75,31.86,"1,661",432,763,
,11,-,2,-,"2,564.50",86.00,650,"2,488.95","2,603.35",650,"23,400.00",130,2.55,2.70,260,-2.65,2.55,31.01,"5,356",421,"1,356",
,2,1,2,-,"2,487.50",61.80,650,"2,434.95","2,553.20",650,"23,450.00",195,2.60,2.80,"1,300",-2.60,2.60,30.52,"1,693",325,542,
,69,50,50,-,"2,441.00",65.75,520,"2,434.30","2,454.25",65,"23,500.00",195,2.55,2.70,520,-2.95,2.55,29.89,"61,150","19,623","26,854",
,3,1,2,-,"2,388.05",61.85,650,"2,335.80","2,453.55",650,"23,550.00",650,2.75,3.00,"1,300",-2.55,2.95,29.85,"1,465",430,657,
,15,-,6,-,"2,361.85",90.20,130,"2,331.55","2,355.75",130,"23,600.00",130,2.90,3.05,325,-3.20,2.90,29.22,"10,921",975,"1,802",
,4,-1,3,-,"2,317.30",86.05,650,"2,236.50","2,353.65",650,"23,650.00",65,3.10,3.25,195,-3.00,3.00,28.78,"1,988",405,638,
,11,2,2,-,"2,240.00",55.85,260,"2,231.95","2,258.40",130,"23,700.00",65,3.10,3.35,195,-3.50,3.25,28.49,"16,596","2,990","4,008",
,3,-,4,-,"2,191.50",48.60,325,"2,183.25","2,204.55",325,"23,750.00",650,3.25,3.45,130,-3.30,3.45,28.13,"1,888",296,619,
,12,-,4,-,"2,161.30",78.30,260,"2,130.50","2,158.85",130,"23,800.00",260,3.40,3.60,325,-3.60,3.35,27.45,"32,189","8,069","11,884",
,3,-1,2,-,"2,116.75",82.15,650,"2,038.00","2,154.00",650,"23,850.00",325,3.20,3.75,65,-3.45,3.75,27.27,"4,043",614,941,
,13,-,1,-,"2,072.80",96.40,260,"2,033.25","2,059.15",130,"23,900.00",455,3.75,3.90,390,-3.85,3.70,26.64,"14,398","1,511","2,686",
,3,-,4,-,"2,012.60",68.60,650,"1,938.80","2,054.25",650,"23,950.00",195,3.90,4.15,"1,040",-3.80,3.95,26.29,"3,135",223,665,
,433,195,385,-,"1,944.60",59.50,65,"1,939.35","1,947.80",65,"24,000.00","2,665",4.05,4.10,"2,210",-4.05,4.10,25.83,"1,55,121","50,244","79,797",
,3,-,2,-,"1,915.65",71.05,650,"1,839.55","1,954.10",650,"24,050.00",195,4.15,4.45,"1,105",-4.50,4.25,25.37,"3,182",401,660,
,20,4,10,-,"1,844.40",51.20,65,"1,797.20","1,902.20",65,"24,100.00",130,4.25,4.55,195,-4.70,4.25,24.78,"15,582","1,482","3,506",
,5,-,4,-,"1,825.65",81.30,650,"1,740.35","1,854.80",650,"24,150.00",325,4.50,4.80,195,-4.85,4.85,24.64,"3,916",156,464,
,15,-,1,-,"1,762.45",75.45,130,"1,716.70","1,792.25","1,040","24,200.00","1,235",4.70,4.95,325,-4.55,4.70,23.93,"30,344","4,182","11,040",
,6,-,1,-,"1,712.05",68.40,650,"1,679.25","1,711.75",130,"24,250.00","1,690",4.80,5.10,260,-4.75,5.00,23.54,"4,628",441,"1,251",
,18,2,3,-,"1,645.20",60.20,65,"1,591.55","1,650.10",195,"24,300.00","1,235",5.10,5.30,585,-4.70,5.25,23.10,"26,259",779,"8,599",
,8,1,2,-,"1,617.25",78.90,130,"1,582.85","1,609.10",130,"24,350.00",325,5.30,5.55,260,-5.15,5.50,22.65,"6,498",482,"1,108",
,31,10,10,-,"1,554.45",68.50,65,"1,503.00","1,551.80",195,"24,400.00","72,085",5.70,5.80,195,-4.85,5.80,22.21,"38,690","7,041","10,502",
,7,-,4,-,"1,519.90",76.75,130,"1,484.50","1,512.45",130,"24,450.00",65,6.05,6.10,65,-5.05,6.15,21.79,"7,265","1,868","2,511",
,753,283,363,-,"1,444.00",51.30,130,"1,443.05","1,449.75",65,"24,500.00",130,6.10,6.25,"28,600",-5.30,6.10,21.14,"1,21,680","29,922","55,220",
,23,1,2,-,"1,424.45",81.30,650,"1,383.95","1,415.20",650,"24,550.00",65,6.40,6.60,65,-5.60,6.60,20.78,"6,771",821,"1,507",
,208,-,13,-,"1,364.05",77.85,390,"1,341.20","1,351.85",65,"24,600.00",65,6.60,6.80,260,-5.55,6.80,20.25,"45,415","10,974","15,638",
,10,-,6,-,"1,318.45",80.65,130,"1,288.00","1,315.35",715,"24,650.00",130,7.05,7.25,130,-6.10,7.25,19.82,"6,286",618,"1,413",
,313,4,31,-,"1,250.50",52.00,"1,885","1,239.10","1,273.55",65,"24,700.00","4,745",7.50,7.55,"1,170",-6.40,7.50,19.29,"47,282","6,178","19,917",
