CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"17,774","2,417","44,32,133",9.89,246.65,109.65,715,246.40,247.00,975,"24,850.00","1,040",25.20,25.30,260,-149.05,25.20,20.22,"53,25,711","57,902","74,528",
,"29,788","-12,769","82,23,260",12.86,205.45,79.55,325,205.55,206.00,"3,055","24,900.00","1,755",34.00,34.10,"2,080",-159.50,34.05,19.88,"69,17,673","84,919","1,15,692",
,"19,542","-4,213","57,80,955",13.82,166.90,54.80,390,167.45,167.95,650,"24,950.00",65,45.85,46.00,"1,365",-170.30,46.00,19.66,"30,58,065","44,709","57,179",
,"85,052","-73,835","1,22,89,394",14.55,133.00,46.55,715,132.65,133.00,455,"25,000.00","1,170",61.15,61.30,780,-196.35,61.25,19.48,"41,26,627","66,263","1,41,770",
,"36,639",424,"50,21,789",14.95,102.95,27.45,585,102.75,103.00,"1,820","25,050.00",390,80.75,81.00,390,-207.50,81.00,19.49,"9,44,029","27,280","40,189",
,"89,926","-2,388","78,77,193",15.14,77.00,16.20,455,77.05,77.40,585,"25,100.00","3,185",105.00,105.20,845,-220.00,105.20,19.62,"9,93,090","22,363","52,659",
,"56,909","5,936","46,19,037",15.35,56.10,5.50,"1,170",56.10,56.35,585,"25,150.00",845,133.75,134.15,455,-232.25,135.00,20.10,"2,17,991",302,"13,451",
,"1,43,007","25,858","79,06,243",15.50,39.50,-0.85,715,39.40,39.60,"2,340","25,200.00",520,167.30,167.65,"1,170",-243.30,167.30,20.36,"3,51,949","-3,115","24,520",
,"67,479","2,605","38,84,948",15.73,27.35,-6.40,"2,145",27.35,27.50,390,"25,250.00",780,205.05,205.75,260,-248.40,205.00,21.11,"61,745","-4,015","13,081",
,"1,52,815","-13,873","57,26,756",16.06,18.80,-9.55,715,18.80,18.90,455,"25,300.00",520,246.30,246.95,390,-253.25,246.95,22.30,"1,29,660","-13,740","20,905",
,"86,694","-1,054","30,42,118",16.52,13.05,-10.30,"1,235",13.05,13.10,455,"25,350.00",65,291.00,291.40,260,-263.00,292.10,23.90,"27,444","-4,957","14,129",
,"1,71,910","-5,677","42,30,376",17.00,9.05,-11.05,"1,300",9.05,9.20,"2,600","25,400.00",260,336.25,337.40,585,-261.35,337.20,25.21,"50,381","-8,776","16,667",
,"78,919","2,878","24,78,118",17.83,6.85,-9.95,845,6.85,6.90,"3,510","25,450.00",260,384.05,385.30,260,-266.45,386.20,27.44,"7,350","-1,845","4,932",
,"2,54,156","5,438","45,83,445",18.81,5.45,-8.65,455,5.40,5.45,"1,105","25,500.00",260,432.45,433.75,260,-261.80,434.40,29.31,"36,955","-4,301","11,001",
,"70,113","4,103","18,67,832",19.65,4.25,-7.95,130,4.20,4.25,650,"25,550.00",325,480.95,484.95,260,-273.40,480.75,30.41,"3,636",-696,"1,620",
,"1,47,905","-16,541","28,53,609",20.43,3.30,-7.15,"4,420",3.20,3.30,650,"25,600.00",260,531.10,533.35,260,-261.40,532.15,33.20,"6,530","-1,826","4,625",
,"50,229","-12,046","15,95,477",21.28,2.65,-6.85,585,2.65,2.85,780,"25,650.00",65,580.00,583.90,260,-264.30,582.25,35.48,925,-166,"2,660",
,"1,27,525","-11,332","21,28,122",22.29,2.25,-6.15,"1,820",2.20,2.25,260,"25,700.00",260,629.90,632.75,260,-274.05,630.90,37.15,"5,262","-2,222","4,881",
,"45,307","-4,956","10,81,270",23.49,2.05,-5.55,"7,215",1.90,2.05,845,"25,750.00",325,677.20,683.70,260,-287.45,681.75,39.66,"1,634",-357,"1,320",
,"1,29,653","11,009","17,58,818",24.43,1.75,-5.15,325,1.75,1.80,65,"25,800.00",260,729.70,732.35,130,-263.65,731.15,41.54,"7,703","-1,422","7,928",
,"30,542","-17,103","6,76,847",25.78,1.70,-4.65,"4,160",1.70,1.75,910,"25,850.00",325,776.65,781.45,325,-295.25,775.30,40.94,"1,496",-652,"1,371",
,"54,794","-28,456","10,34,523",26.89,1.55,-4.35,"18,135",1.40,1.55,"1,430","25,900.00",65,828.70,831.85,260,-258.55,833.10,46.57,"2,249","-1,058","2,137",
,"18,812","-22,655","4,48,064",28.05,1.45,-4.05,"15,665",1.40,1.45,"6,240","25,950.00",390,874.65,884.25,260,-275.50,876.75,45.64,381,-76,706,
,"2,93,515","-35,525","26,38,939",29.31,1.40,-3.75,"1,105",1.35,1.40,65,"26,000.00",260,929.30,932.10,260,-243.75,932.90,50.60,"8,983","-2,347","11,127",
,"28,338","-10,205","3,87,267",30.69,1.40,-3.40,"10,335",1.30,1.35,845,"26,050.00",195,974.15,983.65,325,-284.30,979.90,51.17,219,-111,571,
,"58,939","-1,11,260","7,77,441",31.45,1.20,-3.35,520,1.10,1.20,"4,225","26,100.00",325,"1,028.65","1,033.15",65,-256.85,"1,033.70",55.00,"1,129",-312,"4,510",
,"12,461","-15,468","2,65,555",32.79,1.20,-3.05,"3,380",1.05,1.20,"20,150","26,150.00",65,"1,076.35","1,085.50",65,-316.65,"1,075.00",52.42,114,-82,449,
,"59,063","-54,814","7,51,072",34.12,1.20,-2.75,"1,04,130",1.15,1.20,"1,300","26,200.00",65,"1,131.10","1,132.85",65,-302.50,"1,131.40",57.80,"1,295",-803,"1,190",
,"16,021","-17,342","2,73,002",35.08,1.10,-2.65,"2,860",1.05,1.10,"4,355","26,250.00",65,"1,175.05","1,183.80",130,-250.65,"1,230.50",79.52,125,-95,353,
,"68,934","-63,094","6,14,829",36.38,1.10,-2.45,"14,300",1.00,1.15,845,"26,300.00",65,"1,228.20","1,233.90",65,-294.10,"1,233.70",62.86,"1,107",-610,"1,041",
,"25,756","-12,337","1,60,970",37.67,1.10,-2.25,"2,925",1.00,1.10,"1,105","26,350.00",65,"1,273.95","1,284.25",130,-15.15,"1,284.90",65.40,57,-40,78,
,"46,479","-27,257","3,55,999",38.08,0.90,-2.30,"2,535",0.85,0.90,"3,315","26,400.00",65,"1,326.50","1,333.80",455,-242.05,"1,335.00",67.37,357,-163,246,
,"9,402","-11,583","1,03,072",39.34,0.90,-2.10,"20,410",0.85,1.00,"1,495","26,450.00",65,"1,372.45","1,384.20",65,-87.00,"1,520.00",115.61,17,-8,22,
,"1,31,603","-1,63,083","12,69,580",40.59,0.90,-2.05,"1,365",0.90,0.95,"3,965","26,500.00",195,"1,423.60","1,432.90",65,-281.95,"1,432.50",69.78,"2,831","-1,897","1,913",
,"6,385","-6,798","60,567",41.84,0.90,-1.85,"1,300",0.85,1.00,"2,665","26,550.00",65,"1,468.65","1,485.35",130,-227.35,"1,556.50",101.69,9,-4,53,
,"37,296","-24,531","2,54,913",43.57,1.00,-1.65,"1,430",1.00,1.05,975,"26,600.00",455,"1,521.95","1,535.05",65,-337.80,"1,523.00",67.34,132,-79,115,
,"4,998","-11,122","80,576",44.30,0.90,-1.55,585,0.80,0.95,845,"26,650.00",390,"1,536.75","1,620.30",65,-,"1,405.95",-,-,-,13,
,"25,471","-46,148","2,18,796",45.25,0.85,-1.55,"3,705",0.80,0.85,65,"26,700.00",65,"1,619.40","1,635.00",65,-291.80,"1,643.50",83.19,20,-11,94,
,"10,024","-5,215","49,999",45.86,0.75,-1.50,"70,135",0.70,0.85,"5,265","26,750.00",390,"1,633.00","1,717.65",65,-,"1,689.25",-,-,-,54,
,"33,840","-22,138","2,17,014",47.05,0.75,-1.35,"5,070",0.70,0.75,"20,215","26,800.00",65,"1,720.90","1,733.15",65,-269.30,"1,769.35",98.88,54,-28,120,
,"5,410","-13,432","69,742",48.88,0.85,-1.10,"4,940",0.80,0.85,"1,495","26,850.00",-,-,"1,824.95",65,0.10,"1,513.90",-,-,-,30,
,"18,034","-19,001","1,88,101",49.08,0.70,-1.20,"1,08,680",0.65,0.70,"30,680","26,900.00",65,"1,816.80","1,834.45",195,273.40,"1,885.00",109.21,9,-7,11,
,"6,362","-13,453","73,665",50.26,0.70,-1.15,"31,785",0.65,0.75,"2,600","26,950.00",390,"1,828.95","1,884.95",195,402.90,"1,911.90",101.61,1,-,28,
,"83,619","-1,36,022","8,63,152",50.64,0.60,-1.25,"93,600",0.60,0.65,"6,16,590","27,000.00",195,"1,926.10","1,932.40",325,-266.90,"1,936.25",90.15,"2,549","-2,215",742,
,"8,252","-12,622","79,302",52.59,0.70,-0.95,"1,170",0.70,0.75,845,"27,050.00",390,"1,930.15","2,015.05",65,-,"1,790.00",-,-,-,8,
,"10,216","-9,835","60,755",53.75,0.70,-1.05,"1,560",0.70,0.90,"3,965","27,100.00",65,"2,016.30","2,036.30",65,55.80,"2,070.20",111.16,9,-6,55,
,"3,244","-2,522","23,655",55.64,0.80,-0.90,"6,370",0.75,0.85,"3,380","27,150.00",390,"2,034.30","2,119.50",65,-,"1,787.05",-,-,-,9,
,"7,707","-8,726","47,459",56.05,0.70,-0.90,"9,100",0.65,0.80,845,"27,200.00",65,"2,119.15","2,135.15",195,31.45,"2,150.00",105.19,69,-24,50,
,"2,295","-3,989","28,535",57.59,0.75,-0.85,325,0.75,0.80,65,"27,250.00",390,"2,131.85","2,214.65",65,-,"1,910.50",-,-,-,3,
,"4,368","-7,469","41,630",58.74,0.75,-0.80,"3,185",0.70,0.85,910,"27,300.00",65,"2,218.10","2,237.30",65,451.75,"2,320.00",138.80,2,-,3,
,"1,722","-2,803","19,887",60.27,0.80,-0.75,"9,035",0.70,0.80,130,"27,350.00",390,"2,232.00","2,325.80",65,-,"1,884.25",-,-,-,6,
,"3,931","-5,610","30,190",60.61,0.70,-0.80,"1,365",0.70,0.85,"2,925","27,400.00",390,"2,281.55","2,336.25",65,508.00,"2,443.00",151.02,1,-,6,
,"1,504","-2,124","11,586",61.29,0.65,-0.80,650,0.65,0.80,"2,015","27,450.00",390,"2,332.00","2,420.30",65,-,"2,179.15",-,-,-,6,
,"40,529","-22,832","1,80,807",61.93,0.60,-0.80,"3,055",0.60,0.65,"22,880","27,500.00",65,"2,418.05","2,435.35",195,-277.10,"2,505.00",141.33,91,-76,75,
,"1,991","-2,293","13,379",64.41,0.75,-0.65,390,0.70,0.75,"2,730","27,550.00",390,"2,429.45","2,528.00",65,-,"2,229.05",-,-,-,3,
,"10,393","-1,849","38,244",65.53,0.75,-0.70,"1,365",0.75,0.85,845,"27,600.00",780,"2,464.15","2,572.95",65,-,"2,315.20",-,-,-,3,
,"1,411","-2,914","17,830",67.07,0.80,-0.55,"2,600",0.75,0.85,650,"27,650.00",390,"2,527.20","2,627.35",65,-,"2,300.00",-,-,-,5,
,"10,449","-1,438","19,043",67.31,0.70,-0.70,"6,695",0.65,0.85,845,"27,700.00",390,"2,580.60","2,671.60",65,-,"2,369.40",-,-,-,8,
,"1,758","-2,363","11,998",68.88,0.75,-0.55,845,0.70,0.85,"1,365","27,750.00",390,"2,630.50","2,721.30",65,-,"2,524.05",-,-,-,4,
,"11,880","-1,471","33,839",69.98,0.75,-0.55,780,0.70,0.80,"3,185","27,800.00",390,"2,678.75","2,786.05",65,-,"2,710.00",-,-,-,4,
,"1,292","-2,242","12,620",71.53,0.80,-0.45,650,0.70,0.80,"1,755","27,850.00",65,"2,765.70","2,788.70",65,-189.65,"2,949.80",188.75,3,-1,8,
,"14,094","2,575","43,261",71.21,0.65,-0.65,"1,885",0.65,0.80,65,"27,900.00",390,"2,777.95","2,838.50",65,-,"2,550.05",-,-,-,7,
,"2,251","-1,222","11,928",72.80,0.70,-0.55,845,0.60,0.80,845,"27,950.00",390,"2,829.95","2,924.00",65,-,"2,655.20",-,-,-,6,
,"28,362","-26,056","1,48,391",74.37,0.75,-0.50,"2,015",0.65,0.75,195,"28,000.00",390,"2,926.75","2,939.40",130,-307.70,"2,930.15",119.07,"1,108",-722,551,
,"3,669","-1,919","19,741",73.90,0.60,-0.60,520,0.60,0.75,845,"28,050.00",390,"2,929.65","3,026.45",65,-,"2,805.90",-,-,-,2,
,"34,555","-8,069","1,70,121",73.74,0.50,-0.70,"48,035",0.50,0.55,"5,850","28,100.00",780,"2,733.50","3,088.75",65,-,"2,784.10",-,-,-,6,
