CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"2,133",179,"41,499",18.46,378.45,-86.60,325,379.00,380.60,260,"25,050.00",520,79.70,80.25,390,17.65,79.75,18.39,"10,99,911","-1,859","15,824",
,"11,925",-848,"2,93,940",18.45,342.90,-80.75,455,341.00,342.95,260,"25,100.00",260,92.15,92.70,715,20.75,92.20,18.17,"20,33,195","-5,566","43,014",
,"6,090",-728,"3,57,749",18.30,307.80,-77.35,260,305.60,307.30,325,"25,150.00",520,106.30,106.70,260,24.15,106.35,17.96,"15,22,650","-2,024","22,600",
,"35,798",927,"15,41,487",18.03,273.35,-73.50,325,271.75,272.95,195,"25,200.00",780,122.85,123.50,585,28.15,122.75,17.80,"36,46,595","-4,086","62,051",
,"23,203","10,669","22,22,007",17.79,241.00,-70.60,390,240.55,241.70,455,"25,250.00",260,141.20,141.85,195,33.45,141.90,17.71,"31,60,163",-753,"33,823",
,"79,392","30,645","48,77,066",17.77,212.90,-64.40,260,211.85,212.90,195,"25,300.00","4,680",162.95,163.00,"2,665",38.70,163.00,17.62,"47,13,899","6,420","76,193",
,"44,521","23,577","23,96,543",17.70,186.35,-58.85,65,186.30,186.85,520,"25,350.00",520,185.50,186.00,585,43.25,185.50,17.47,"13,89,500","7,560","34,547",
,"67,768","17,324","28,83,766",17.61,161.80,-53.90,260,161.40,162.30,650,"25,400.00",455,211.05,211.80,195,48.75,210.95,17.39,"10,83,828","-16,801","35,568",
,"24,015","-3,847","12,36,237",17.65,140.60,-47.75,520,139.80,140.55,650,"25,450.00",650,239.50,240.00,"1,950",55.55,239.90,17.44,"2,50,221","-6,463","9,970",
,"1,02,615","19,487","29,97,452",17.60,120.60,-42.50,520,120.60,121.45,390,"25,500.00",260,269.90,271.10,260,60.10,269.50,17.34,"4,47,524","-6,509","27,447",
,"25,670","6,154","11,95,034",17.72,104.35,-36.10,260,103.40,104.10,455,"25,550.00",260,302.85,304.35,260,65.55,302.25,17.36,"50,286","-2,069","3,384",
,"62,793","13,901","19,06,862",17.80,89.50,-30.70,65,89.05,89.35,455,"25,600.00",260,337.80,339.40,260,68.70,335.00,17.17,"79,269","-2,916","8,236",
,"27,952","8,811","9,09,489",17.87,76.25,-25.70,585,76.05,76.65,520,"25,650.00",520,374.55,378.00,260,74.30,372.00,17.23,"16,500",-531,"2,347",
,"73,699","23,004","15,11,855",17.93,64.55,-21.60,260,64.50,65.35,455,"25,700.00",715,413.20,415.25,325,80.15,412.85,17.57,"31,754",-236,"8,199",
,"23,697","5,742","7,11,694",18.15,55.55,-17.15,260,55.50,56.10,585,"25,750.00",260,454.05,458.85,520,83.75,452.20,17.55,"7,780",-348,"1,793",
,"80,903","21,956","13,09,028",18.43,48.10,-12.65,195,47.70,48.10,845,"25,800.00",260,496.35,498.75,325,85.20,491.85,17.35,"13,706",-778,"10,346",
,"21,896","3,714","4,99,675",18.58,40.85,-10.05,"1,235",40.65,41.15,260,"25,850.00",65,534.25,541.55,195,95.75,543.35,18.81,"2,339",39,"1,841",
,"53,984","21,018","7,95,738",18.84,35.25,-7.20,520,34.70,35.25,325,"25,900.00",260,582.10,586.70,195,92.60,581.55,18.03,"5,559",-479,"3,651",
,"14,630","1,843","3,96,056",19.10,30.35,-5.15,585,30.00,30.35,260,"25,950.00",195,619.10,630.15,195,100.90,632.90,19.40,611,139,811,
,"1,77,203","39,774","15,24,323",19.31,25.90,-3.60,130,25.90,26.15,650,"26,000.00",260,672.70,676.70,65,99.50,674.35,18.80,"23,343",977,"16,081",
,"20,165","5,050","3,81,943",19.61,22.50,-2.15,780,22.20,22.50,390,"26,050.00",65,713.70,725.80,260,109.95,730.25,21.08,323,103,692,
,"56,456",731,"5,01,595",19.85,19.30,-1.45,715,19.25,19.65,650,"26,100.00",130,761.70,772.55,260,110.55,776.00,21.24,761,-16,"4,873",
,"14,477","4,834","2,57,683",20.15,16.80,-0.25,325,16.70,16.95,455,"26,150.00",195,808.35,820.25,195,96.40,811.00,18.12,221,68,482,
,"59,790","10,688","4,99,917",20.40,14.45,0.30,455,14.45,14.70,455,"26,200.00",65,861.75,866.60,260,105.85,865.40,20.49,979,22,"1,868",
,"20,478","8,619","2,69,995",20.74,12.70,0.70,65,12.75,13.00,780,"26,250.00",195,904.60,916.95,195,110.55,907.30,18.34,162,-21,433,
,"74,282","25,575","4,79,741",21.14,11.35,1.30,65,11.35,11.45,390,"26,300.00",65,954.30,961.60,260,109.40,964.55,22.07,508,-11,"1,984",
,"37,372","20,756","3,46,482",21.55,10.20,1.65,"2,080",10.10,10.20,130,"26,350.00",65,989.65,"1,014.20",65,158.95,"1,058.85",32.96,46,6,85,
,"54,008",-720,"4,77,372",21.81,8.85,1.75,"1,430",8.85,9.00,715,"26,400.00",65,"1,050.60","1,064.10",65,100.65,"1,050.80",14.21,74,1,398,
,"18,257","6,886","1,33,348",22.08,7.70,1.60,65,7.85,8.20,"3,510","26,450.00",65,"1,093.90","1,113.15",130,112.10,"1,109.25",22.64,22,4,25,
,"1,59,885","54,159","7,00,777",22.56,7.10,1.80,"1,625",7.10,7.30,"1,495","26,500.00",65,"1,150.75","1,159.40",260,103.70,"1,153.75",20.11,705,121,"2,448",
,"18,738","9,274","1,69,331",22.95,6.40,1.70,780,6.40,6.45,260,"26,550.00",65,"1,158.85","1,216.70",65,194.00,"1,278.25",40.74,3,-2,13,
,"52,622","31,342","3,33,239",23.25,5.65,1.60,"1,495",5.50,5.65,845,"26,600.00",260,"1,245.55","1,262.25",65,98.05,"1,252.45",20.32,46,-10,204,
,"8,646","-2,564","90,749",23.66,5.15,1.55,"2,600",4.85,5.15,"9,165","26,650.00",65,"1,253.45","1,337.00",130,49.45,"1,330.45",33.22,22,5,13,
,"56,949","29,733","3,25,988",23.99,4.60,1.55,"1,495",4.40,4.60,"1,625","26,700.00",65,"1,323.85","1,360.70",65,110.05,"1,354.25",23.62,26,-2,88,
,"9,991","4,611","1,00,963",24.21,4.00,1.25,715,3.80,4.00,"1,040","26,750.00",65,"1,351.90","1,430.70",130,29.10,"1,413.20",29.47,8,1,54,
,"49,529","13,547","3,00,696",24.26,3.30,0.95,"1,105",3.30,3.50,715,"26,800.00",65,"1,437.15","1,466.90",65,193.25,"1,530.95",46.73,4,3,125,
,"13,152","5,314","94,879",24.80,3.15,1.00,"1,625",2.95,3.15,"3,510","26,850.00",65,"1,486.55","1,519.15",130,124.60,"1,513.90",31.46,21,12,30,
,"30,677","8,278","1,79,154",25.15,2.85,0.90,"5,200",2.60,2.85,"1,560","26,900.00",65,"1,508.00","1,565.90",65,150.80,"1,589.05",40.19,1,-1,19,
,"16,788","4,755","1,12,027",25.45,2.55,0.70,260,2.55,2.65,650,"26,950.00",65,"1,560.45","1,611.70",195,110.95,"1,610.55",31.56,36,9,16,
,"1,53,272","47,479","6,26,671",25.98,2.45,0.60,"3,770",2.40,2.45,"6,305","27,000.00",65,"1,645.00","1,653.45",65,103.80,"1,652.00",25.67,434,-85,"2,264",
,"12,491","2,420","83,861",26.36,2.25,0.55,"1,430",2.10,2.25,780,"27,050.00",65,"1,656.55","1,718.90",130,-15.10,"1,712.10",33.96,4,2,9,
,"18,520","5,781","1,28,492",26.54,1.95,0.30,"9,750",1.95,2.20,"1,170","27,100.00",65,"1,701.10","1,795.70",390,-,"1,630.05",-,-,-,64,
,"4,461","-1,065","66,082",27.10,1.90,0.35,"3,965",1.90,1.95,130,"27,150.00",65,"1,748.35","1,817.95",130,151.50,"1,838.05",44.63,1,-1,9,
,"17,091","1,933","1,23,247",27.55,1.80,0.30,"4,030",1.80,1.90,390,"27,200.00",65,"1,800.45","1,866.10",65,174.85,"1,909.80",50.83,7,-3,68,
,"4,613",822,"62,206",27.99,1.70,0.20,130,1.70,1.90,"22,035","27,250.00",65,"1,852.85","1,919.90",130,106.75,"1,910.50",36.34,4,-2,3,
,"13,478","-2,626","88,139",28.71,1.75,0.30,"4,550",1.60,1.75,"8,580","27,300.00",390,"1,904.95","1,994.55",390,-,"2,015.50",-,-,-,4,
,"3,373",190,"36,022",29.24,1.70,0.30,"17,940",1.55,1.70,260,"27,350.00",390,"1,951.95","2,053.85",390,-,"1,884.25",-,-,-,6,
,"6,234","-1,827","49,355",29.86,1.70,0.30,"1,300",1.60,1.65,65,"27,400.00",390,"2,004.50","2,096.30",390,-,"1,935.00",-,-,-,6,
,"1,855",505,"31,046",30.04,1.50,0.15,910,1.50,1.55,"2,080","27,450.00",65,"2,045.95","2,146.30",390,175.25,"2,179.15",59.85,4,-2,6,
,"55,483","2,041","1,83,570",30.76,1.55,0.20,"6,370",1.50,1.55,"15,015","27,500.00",65,"2,139.65","2,195.60",325,83.75,"2,130.00",-,3,1,181,
,"4,306",345,"41,314",31.01,1.40,0.10,"2,145",1.40,1.50,"3,770","27,550.00",390,"2,150.80","2,254.80",390,-,"2,229.05",-,-,-,3,
,"11,542",-905,"35,559",31.85,1.50,0.15,65,1.45,1.50,"2,665","27,600.00",390,"2,203.55","2,303.10",390,-,"2,315.20",-,-,-,3,
,"4,058",49,"32,213",32.21,1.40,0.10,"4,745",1.35,1.40,"8,320","27,650.00",780,"2,236.45","2,353.60",390,-,"2,300.00",-,-,-,5,
,"10,604","-2,052","49,546",32.92,1.45,0.10,715,1.40,1.45,585,"27,700.00",65,"2,304.20","2,367.20",65,134.85,"2,369.40",47.87,2,-2,8,
,"2,904",171,"21,371",33.26,1.35,0.10,"4,745",1.30,1.40,"4,485","27,750.00",65,"2,342.15","2,454.05",390,-,"2,524.05",-,-,-,4,
,"12,793","-3,630","46,380",33.84,1.35,0.10,"4,030",1.30,1.35,"9,165","27,800.00",390,"2,402.45","2,503.75",390,-,"2,499.00",-,-,-,5,
,"3,341",184,"23,323",34.15,1.25,0.05,"9,815",1.25,1.35,"2,795","27,850.00",65,"2,209.65","2,555.60",390,-,"2,384.05",-,-,-,6,
,"11,658","-1,758","42,901",34.58,1.20,-0.05,130,1.20,1.30,"6,370","27,900.00",65,"2,496.10","2,596.55",390,3.40,"2,655.95",-,-,-,8,
,"3,307",192,"21,224",35.30,1.25,0.05,"4,290",1.20,1.25,"14,365","27,950.00",390,"2,552.85","2,644.85",390,153.15,"2,655.20",63.77,1,-1,6,
,"54,850","1,342","1,28,222",35.72,1.20,-,"1,34,810",1.15,1.20,"26,000","28,000.00",260,"2,638.75","2,656.30",65,105.70,"2,640.40",-,503,154,"1,517",
,"4,754",86,"31,706",36.13,1.15,-,"8,710",1.15,1.20,"2,210","28,050.00",65,"2,649.95","2,860.15","1,690",-,"2,805.90",-,-,-,2,
,"21,277","4,696","1,00,277",36.70,1.15,0.05,"1,37,475",1.10,1.15,"46,150","28,100.00",65,"2,542.45","2,824.35",780,-,"2,784.10",-,-,-,6,
