CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"92,351","80,426","26,28,119",18.61,44.45,-299.45,"1,235",44.20,44.45,130,"25,100.00",195,410.85,414.45,715,312.55,414.45,35.80,"33,13,859","-9,028","33,986",
,"51,077","44,987","15,38,900",19.15,37.05,-272.80,260,36.50,37.05,650,"25,150.00",390,451.55,455.50,130,336.20,453.15,36.57,"14,52,816","-9,440","13,160",
,"1,17,860","82,062","32,59,543",19.73,31.15,-246.35,"1,755",30.85,31.15,"1,105","25,200.00",455,496.45,499.85,390,364.35,498.90,38.28,"26,80,598","-33,536","28,515",
,"70,467","47,264","20,56,526",20.25,26.00,-220.55,"2,275",26.00,26.40,520,"25,250.00",455,542.05,544.85,65,386.50,541.35,39.38,"16,16,079","-16,692","17,131",
,"1,68,352","88,960","55,45,230",20.91,22.30,-196.00,975,22.10,22.30,325,"25,300.00",520,589.10,590.95,260,409.70,585.85,40.69,"33,36,819","-39,520","36,673",
,"94,075","49,554","33,07,241",21.46,18.85,-174.05,390,18.85,19.15,520,"25,350.00",260,633.45,638.80,130,439.10,638.95,43.35,"16,11,420","-15,114","19,433",
,"1,78,450","1,10,682","54,03,452",22.10,16.25,-152.30,585,16.30,16.45,325,"25,400.00",260,680.55,684.95,195,458.75,684.30,44.68,"14,84,565","-9,705","25,863",
,"75,720","51,705","26,25,280",22.88,14.45,-132.20,"1,365",14.20,14.45,520,"25,450.00",260,729.05,735.70,260,475.45,729.75,45.95,"3,05,051","-3,191","6,779",
,"2,52,999","1,50,384","62,97,402",23.54,12.65,-114.70,780,12.35,12.65,520,"25,500.00",260,778.35,782.45,260,493.70,777.80,47.61,"5,21,921","-8,775","18,672",
,"67,046","41,376","22,10,110",24.24,11.20,-98.45,975,10.95,11.25,"2,340","25,550.00",65,824.90,832.65,65,509.25,824.90,49.05,"78,019","-1,069","2,315",
,"1,66,170","1,03,377","43,20,034",24.83,9.75,-84.40,65,9.60,9.75,"1,235","25,600.00",260,873.90,880.95,260,526.00,873.75,50.76,"97,909","-1,617","6,619",
,"66,306","38,354","20,31,248",25.49,8.65,-72.50,780,8.65,8.75,65,"25,650.00",65,921.55,930.15,260,534.30,920.55,52.06,"29,577",498,"2,845",
,"1,43,460","69,761","39,35,581",26.18,7.75,-61.50,"1,950",7.75,7.85,"2,080","25,700.00",65,969.95,977.40,65,546.35,976.65,55.09,"25,738","-1,092","7,107",
,"50,535","26,838","16,81,254",26.95,7.10,-52.25,780,7.05,7.10,"4,485","25,750.00",65,"1,019.45","1,028.45",65,554.85,"1,022.05",56.05,"5,543",-89,"1,704",
,"1,22,590","41,687","36,12,770",27.73,6.55,-44.40,845,6.35,6.55,"1,690","25,800.00",260,"1,069.10","1,076.35",130,571.25,"1,074.55",58.36,"18,517",-963,"9,383",
,"47,758","25,862","15,58,102",28.26,5.75,-37.65,"1,430",5.85,6.00,910,"25,850.00",130,"1,116.45","1,126.75",65,569.60,"1,120.95",59.45,"1,994",188,"2,029",
,"84,488","30,504","23,28,427",29.26,5.60,-31.15,715,5.40,5.60,845,"25,900.00",260,"1,170.65","1,176.65",130,578.05,"1,171.45",61.32,"7,754",-458,"3,193",
,"41,461","26,831","12,10,734",29.88,5.05,-26.75,455,5.05,5.15,845,"25,950.00",65,"1,215.80","1,227.50",130,581.80,"1,223.35",63.47,"1,101",-22,789,
,"3,37,160","1,59,957","56,81,274",30.63,4.70,-22.65,"3,120",4.65,4.85,845,"26,000.00",65,"1,270.50","1,277.05",260,585.05,"1,269.75",64.46,"46,905","-2,357","13,724",
,"38,771","18,606","12,43,767",31.34,4.35,-19.15,845,4.40,4.50,845,"26,050.00",130,"1,313.40","1,329.00",65,609.50,"1,337.75",69.93,446,-9,683,
,"1,70,386","1,13,930","22,67,891",32.17,4.15,-16.10,780,4.15,4.20,65,"26,100.00",65,"1,365.00","1,379.20",65,596.90,"1,368.00",67.50,"2,963",-44,"4,829",
,"28,039","13,562","10,71,785",32.92,3.90,-13.70,520,3.85,3.95,845,"26,150.00",130,"1,409.95","1,426.55",65,597.10,"1,417.55",69.08,396,49,531,
,"1,14,524","54,734","20,36,349",33.44,3.50,-11.55,325,3.50,3.55,130,"26,200.00",130,"1,464.00","1,473.05",65,607.10,"1,469.70",71.23,"1,597",147,"2,015",
,"33,417","12,939","9,96,754",34.17,3.30,-9.85,845,3.25,3.40,845,"26,250.00",130,"1,505.80","1,569.35",130,578.05,"1,481.15",63.56,127,16,449,
,"1,32,260","57,978","18,93,294",35.03,3.20,-8.45,"1,040",3.15,3.25,845,"26,300.00",65,"1,560.95","1,572.25",65,600.80,"1,570.40",74.68,"1,796",-334,"1,650",
,"38,142",770,"7,35,742",35.71,3.00,-7.25,520,3.00,3.10,845,"26,350.00",130,"1,570.10","1,666.85",390,241.20,"1,300.05",-,148,35,120,
