CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,725,-10,407,-,938.20,17.45,195,932.10,944.30,65,"24,850.00",715,16.55,16.75,195,-1.65,16.75,19.35,"1,14,972","7,336","17,122",
,"7,654",-553,"2,608",-,889.40,14.30,195,885.55,891.70,65,"24,900.00",975,17.65,17.85,"1,820",-1.60,17.85,18.82,"2,34,927","10,513","33,267",
,945,-87,737,-,837.50,12.70,260,837.55,844.90,130,"24,950.00",195,19.10,19.20,260,-2.25,19.20,18.31,"1,45,780","4,885","13,919",
,"15,277","-2,286","12,248",-,789.60,13.10,195,789.75,793.30,390,"25,000.00",650,20.70,20.85,650,-2.25,20.85,17.83,"7,39,383","30,376","1,21,209",
,"1,487",-264,"1,130",-,740.55,12.65,65,738.85,748.50,195,"25,050.00",65,22.30,22.60,260,-3.65,22.30,17.27,"1,84,146","5,476","23,848",
,"19,700","-1,972","8,062",-,695.00,12.90,65,693.35,695.00,130,"25,100.00","1,430",24.50,24.80,520,-4.30,24.50,16.82,"3,29,531","3,390","34,818",
,"1,417",-305,"1,259",-,645.90,8.40,260,645.00,650.90,195,"25,150.00",65,27.30,27.60,325,-5.30,27.30,16.42,"2,35,847","21,816","29,415",
,"9,676",-900,"9,785",-,600.05,10.00,260,598.75,605.30,260,"25,200.00",65,30.15,30.35,260,-6.40,30.20,15.97,"5,28,174","18,645","58,858",
,"1,457",-246,"3,744",-,556.85,5.60,260,553.95,557.25,260,"25,250.00","1,040",34.00,34.40,260,-8.95,34.10,15.60,"3,05,328","13,631","21,064",
,"12,832",-935,"18,221",-,508.50,3.35,260,508.30,511.25,260,"25,300.00",520,38.70,38.95,780,-10.85,38.70,15.25,"6,23,884","17,867","51,679",
,"1,518",-499,"5,466",-,466.05,2.20,260,464.15,469.90,195,"25,350.00",65,44.25,44.45,325,-14.15,44.45,14.96,"4,26,016","15,132","29,579",
,"10,868",660,"32,380",7.74,423.00,1.00,260,421.60,423.20,715,"25,400.00",520,51.00,51.30,910,-15.75,51.05,14.66,"8,38,451","21,313","54,745",
,"2,281",-319,"17,615",8.61,380.60,-1.70,65,380.45,381.60,260,"25,450.00",455,59.25,59.50,910,-18.85,59.25,14.43,"5,10,273","15,870","24,022",
,"27,809","-5,301","2,39,150",9.13,340.10,-6.55,390,340.05,341.55,260,"25,500.00",715,68.60,69.00,325,-22.70,68.60,14.19,"18,67,435","36,855","97,803",
,"3,007",796,"84,481",9.55,302.30,-10.20,325,301.90,303.45,260,"25,550.00",390,80.45,80.90,260,-24.95,80.45,14.05,"9,03,109","20,041","28,868",
,"16,192","1,034","5,16,817",9.87,266.80,-11.85,260,265.70,266.80,195,"25,600.00",910,94.25,94.80,585,-27.30,94.40,13.95,"16,66,884","34,784","59,869",
,"6,188","2,347","4,91,257",10.05,232.80,-15.85,130,232.55,233.35,260,"25,650.00",65,110.60,111.10,910,-29.95,111.10,13.93,"12,49,612","24,192","35,804",
,"49,467","10,400","23,70,898",10.22,201.70,-17.45,715,201.70,202.10,260,"25,700.00",130,129.25,129.85,260,-32.20,129.80,13.90,"32,94,368","42,513","90,500",
,"42,240","24,204","24,10,107",10.41,173.85,-20.50,260,173.05,173.80,195,"25,750.00",715,151.00,151.60,260,-34.20,151.10,13.92,"23,51,481","30,885","45,168",
,"1,18,231","37,355","34,72,718",10.55,148.45,-20.95,130,148.00,148.45,195,"25,800.00",65,175.10,175.75,455,-35.40,175.80,14.03,"26,96,375","40,924","97,897",
,"36,331","5,922","13,70,568",10.69,125.75,-22.70,260,125.65,126.10,65,"25,850.00",260,203.00,203.55,455,-36.65,203.40,14.19,"5,34,995","9,261","17,637",
,"59,579","19,582","16,74,734",10.89,106.70,-21.90,260,106.25,106.70,325,"25,900.00",195,233.00,234.00,975,-36.80,232.90,14.34,"4,96,324","6,254","17,261",
,"28,507","18,548","9,49,469",11.03,89.45,-21.70,65,89.45,89.80,260,"25,950.00",260,265.70,267.10,260,-34.35,267.05,14.70,"93,485","3,425","5,337",
,"1,49,958","30,073","23,24,982",11.19,74.70,-20.90,650,74.70,75.10,910,"26,000.00",195,301.60,302.80,260,-34.75,302.70,15.05,"3,11,641",470,"28,943",
,"22,895","12,127","6,69,864",11.35,62.20,-19.40,455,62.20,62.60,390,"26,050.00",260,338.40,340.15,390,-29.35,340.05,15.40,"22,585","1,116","2,129",
,"65,257","32,221","9,90,766",11.59,52.25,-17.80,455,52.00,52.25,650,"26,100.00",195,378.35,379.70,520,-27.85,379.95,15.85,"31,003",139,"5,667",
,"20,891","8,014","6,26,789",11.78,43.50,-15.20,325,43.50,43.90,650,"26,150.00",520,416.80,422.40,260,-28.25,422.85,16.48,"4,372",222,735,
,"70,343","10,490","9,68,721",11.98,36.15,-13.75,585,36.15,36.60,910,"26,200.00",195,462.80,464.50,260,-23.60,463.40,16.79,"25,746","-1,465","5,857",
,"19,370","-1,700","4,26,207",12.28,30.80,-11.80,"5,980",30.80,30.85,975,"26,250.00",520,503.10,510.15,260,-25.05,507.80,17.40,"1,766",224,582,
,"52,522","10,569","6,48,929",12.49,25.65,-11.05,520,25.70,25.95,910,"26,300.00",585,552.05,553.75,130,-19.60,554.60,18.18,"5,616",-93,"2,662",
,"14,944","5,873","3,67,098",12.80,22.00,-9.35,195,21.90,22.10,780,"26,350.00",130,594.45,599.75,260,-10.20,599.55,18.72,971,-23,609,
,"42,923","12,716","4,47,595",13.08,18.75,-8.10,585,18.50,18.75,975,"26,400.00",195,641.10,648.40,65,-22.45,647.55,19.54,"1,491",128,702,
,"17,435","7,714","2,86,704",13.35,15.95,-7.45,780,15.95,16.20,715,"26,450.00",390,686.65,722.90,325,-35.35,688.05,19.45,532,168,173,
,"1,14,581","23,481","9,24,019",13.75,14.20,-6.25,780,14.05,14.20,325,"26,500.00",260,737.75,741.20,260,-13.35,741.80,20.89,"10,639","-1,232","6,852",
,"14,053","5,985","2,50,640",14.06,12.30,-4.85,65,12.15,12.30,650,"26,550.00",130,783.10,793.15,65,45.05,789.40,21.57,29,7,11,
,"37,303","8,582","3,55,009",14.35,10.65,-4.40,"1,235",10.50,10.65,650,"26,600.00",65,832.55,840.50,65,-2.80,842.55,22.92,395,150,490,
,"13,264","7,906","2,22,558",14.64,9.25,-4.40,130,9.30,9.40,455,"26,650.00",65,880.55,891.80,130,-15.10,817.10,-,37,1,20,
,"38,328","8,882","3,08,056",14.95,8.10,-4.10,65,8.10,8.15,"1,040","26,700.00",65,929.20,939.45,65,-32.70,917.95,21.30,68,24,59,
,"13,861","8,549","1,48,192",15.25,7.10,-4.35,715,7.20,7.25,65,"26,750.00",65,977.55,988.80,65,-7.15,982.40,24.34,43,11,19,
,"49,426","22,713","2,90,723",15.58,6.30,-3.90,390,6.25,6.30,260,"26,800.00",130,"1,028.00","1,035.50",65,-16.65,"1,027.00",24.44,111,32,158,
,"8,942","1,096","1,05,343",15.88,5.55,-4.10,390,5.55,5.80,780,"26,850.00",195,"1,075.00","1,130.50",390,-63.60,"1,012.55",-,3,-,3,
,"36,200","10,045","2,65,565",16.30,5.15,-3.90,"1,690",5.10,5.15,"1,690","26,900.00",195,"1,125.25","1,136.20",65,31.55,"1,126.95",26.16,19,1,13,
,"5,845","2,539","1,11,582",16.51,4.40,-3.80,390,4.40,4.50,"1,690","26,950.00",65,"1,132.25","1,230.55",390,-,"1,194.00",-,-,-,6,
,"1,65,528","27,180","6,69,556",16.92,4.10,-3.05,455,4.05,4.10,"2,015","27,000.00",65,"1,224.80","1,234.75",65,-12.85,"1,230.00",28.34,514,-37,"2,087",
,"5,426","3,478","74,900",17.14,3.55,-3.30,195,3.45,3.55,"1,690","27,050.00",195,"1,271.25","1,330.40",390,-2.50,"1,254.15",24.36,7,2,5,
,"33,533","21,791","2,15,541",17.26,2.95,-3.15,650,2.80,3.00,975,"27,100.00",65,"1,316.00","1,334.95",130,30.80,"1,345.80",32.46,10,4,9,
,"14,176","2,362","1,28,323",17.74,2.85,-2.85,"29,640",2.85,2.90,"5,395","27,150.00",65,"1,325.85","1,424.20",390,-,"1,329.95",-,-,-,32,
,"45,861","30,466","2,97,335",18.07,2.60,-2.70,715,2.45,2.60,"1,105","27,200.00",130,"1,421.35","1,438.25",65,-31.05,"1,360.95",-,2,-,9,
,"7,978","5,766","79,386",18.27,2.25,-2.80,"2,470",2.25,2.35,"1,105","27,250.00",65,"1,464.15","1,484.40",65,29.90,"1,488.05",33.83,9,2,123,
,"36,981","22,937","1,96,983",18.53,2.00,-2.45,"6,045",1.90,2.00,"1,690","27,300.00",130,"1,519.95","1,538.25",65,-51.05,"1,471.95",-,6,2,6,
,"7,157","6,137","74,749",18.88,1.85,-2.45,"2,340",1.85,1.95,"1,625","27,350.00",65,"1,486.20","1,636.75",390,21.40,"1,565.60",31.40,3,-,7,
,"37,092","19,618","2,18,917",19.20,1.70,-2.25,"1,365",1.70,1.75,"3,835","27,400.00",65,"1,613.15","1,636.45",65,-0.60,"1,647.85",37.89,9,2,6,
,"6,704","4,306","68,889",19.65,1.65,-2.00,"12,220",1.65,1.75,"5,330","27,450.00",65,"1,575.95","1,737.50",390,-15.65,"1,696.10",38.44,2,1,8,
,"79,745","17,676","3,68,096",20.16,1.65,-1.45,"35,750",1.65,1.70,"5,265","27,500.00",65,"1,719.45","1,769.10",390,-58.70,"1,667.90",-,12,10,79,
,"5,223","2,875","62,792",20.67,1.65,-1.65,"1,690",1.60,1.75,780,"27,550.00",65,"1,618.20","1,907.15","1,690",-,"1,736.70",-,-,-,6,
,"9,055","2,984","78,335",21.02,1.55,-1.40,"8,645",1.55,1.65,"1,300","27,600.00",65,"1,719.85","1,886.20",390,-4.40,"1,850.15",-,-,-,5,
,"2,692","1,165","37,344",21.44,1.50,-1.40,"8,710",1.50,1.60,455,"27,650.00",65,"1,769.40","1,930.55",390,-179.80,"1,719.40",-,2,-,6,
,"11,845","2,095","82,470",21.85,1.45,-1.15,"73,840",1.45,1.50,"16,315","27,700.00",65,"1,913.15","1,992.85","1,690",-28.65,"1,917.35",37.06,3,1,6,
,"2,354",836,"38,081",22.26,1.40,-1.25,"2,210",1.40,1.55,"1,755","27,750.00",65,"1,878.10","2,021.75",390,0.10,"2,001.60",44.24,2,-,5,
,"26,155","4,143","1,17,299",22.75,1.40,-1.10,130,1.40,1.45,845,"27,800.00",65,"1,966.95","2,033.55",130,4.00,"2,029.25",41.03,3,1,13,
,"2,547",861,"33,925",23.24,1.40,-1.05,"23,010",1.35,1.40,130,"27,850.00",65,"1,967.05","2,135.95",390,3.60,"2,092.65",44.30,2,-,5,
,"39,458","6,086","1,05,574",23.63,1.35,-0.85,"1,41,375",1.30,1.35,"1,755","27,900.00",65,"1,930.70","2,196.05","1,690",-,"2,151.00",-,-,-,19,
,"50,370","17,394","1,24,955",24.21,1.40,-0.75,"72,020",1.30,1.40,"4,290","27,950.00",130,"2,165.15","2,220.50",390,-11.70,"2,129.20",23.60,10,1,8,
