CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,6,-,-,-,"2,300.00",-,65,"2,426.30","2,540.10",390,"23,100.00","17,290",2.25,2.35,"3,380",-1.00,2.35,39.99,"4,81,749","69,364","1,45,464",
,45,-,10,41.05,"2,450.00",-133.40,390,"2,376.70","2,490.20",65,"23,150.00","2,600",2.35,2.45,"2,405",-0.90,2.50,39.54,"1,25,009","10,057","15,644",
,5,-,-,-,"2,478.15",-,390,"2,324.50","2,440.40",390,"23,200.00",780,2.55,2.60,"3,575",-1.10,2.55,38.87,"1,82,847","13,141","36,226",
,2,-,-,-,"2,480.90",-,390,"2,277.30","2,390.50",390,"23,250.00","1,625",2.60,2.70,910,-0.90,2.70,38.39,"55,673","2,424","4,548",
,37,-5,9,64.05,"2,356.25",-73.75,"1,690","2,147.25","2,339.95",65,"23,300.00",780,2.60,2.70,"4,290",-0.90,2.65,37.54,"1,42,271","8,498","33,509",
,2,-,-,-,"2,381.35",-,390,"2,177.75","2,290.55",390,"23,350.00","1,755",2.80,2.85,"5,005",-1.00,2.80,37.04,"52,116",906,"3,892",
,24,-,-,-,"2,338.85",-,390,"2,127.80","2,237.20",65,"23,400.00",260,2.75,2.85,"7,800",-1.05,2.75,36.19,"1,70,192","10,222","27,853",
,3,-,-,-,"2,281.65",-,390,"2,068.15","2,190.65",390,"23,450.00",325,3.00,3.05,"1,755",-0.95,3.05,35.90,"61,800","1,779","3,793",
,"6,687",-702,"1,318",-,"2,087.75",138.75,325,"2,075.90","2,086.00",65,"23,500.00",390,3.00,3.05,"1,820",-0.85,3.10,35.20,"4,52,860","16,138","83,770",
,3,-,-,-,"2,187.95",-3.95,390,"1,978.75","2,090.65","1,040","23,550.00","1,625",3.15,3.25,"1,755",-1.10,3.15,34.50,"57,597","2,537","4,149",
,14,-,-,-,"2,082.00",-,390,"1,926.60","2,040.80",520,"23,600.00","1,755",3.25,3.40,"1,690",-1.10,3.25,33.87,"1,14,149","6,515","14,818",
,21,-2,4,56.50,"2,008.00",-67.30,390,"1,879.30","1,990.95",390,"23,650.00","1,755",3.45,3.55,"2,080",-0.90,3.65,33.61,"47,945","1,980","3,666",
,21,-1,1,-,"1,796.60",-104.00,65,"1,829.60","1,940.90","1,235","23,700.00","1,625",3.50,3.60,"2,275",-0.90,3.60,32.77,"1,84,316","13,705","22,218",
,121,-102,137,-,"1,842.25",-142.80,65,"1,817.10","1,842.45",65,"23,750.00","2,145",3.70,3.85,"1,755",-1.15,3.90,32.33,"70,003",790,"5,228",
,86,-6,16,51.39,"1,851.00",192.55,65,"1,730.30","1,830.45",65,"23,800.00","1,950",3.85,4.00,"2,015",-1.00,4.00,31.65,"2,57,218","16,214","40,743",
,28,-,-,-,"1,884.00",-,390,"1,673.70","1,791.25",715,"23,850.00",650,4.25,4.40,"1,040",-1.05,4.25,31.12,"91,965","2,968","5,281",
,100,2,4,-,"1,653.25",-81.65,65,"1,631.15","1,741.45",650,"23,900.00","2,470",4.45,4.65,"3,380",-0.75,4.65,30.72,"2,16,221","4,791","17,759",
,9,-,-,-,"1,788.45",-,390,"1,579.15","1,691.75",780,"23,950.00",715,4.60,4.70,"2,080",-0.90,4.70,29.96,"90,248","1,427","6,230",
,"8,612","-1,858","3,478",-,"1,587.65",109.15,65,"1,579.65","1,590.60",65,"24,000.00","64,155",5.05,5.15,"5,005",-1.00,5.10,29.50,"7,66,759","38,277","1,77,986",
,6,-,1,-,"1,543.80",-141.75,390,"1,482.25","1,581.95","1,170","24,050.00","1,300",5.20,5.30,"1,755",-0.80,5.30,28.85,"80,035","1,809","5,601",
,110,-1,24,48.11,"1,568.00",48.00,65,"1,449.20","1,498.60",65,"24,100.00",65,5.40,5.50,"2,145",-1.00,5.50,28.19,"1,91,384","5,584","20,835",
,31,-,-,-,"1,591.60",-,390,"1,382.85","1,492.35","1,040","24,150.00","2,925",5.65,5.75,"1,755",-0.90,5.80,27.59,"96,757","3,276","6,088",
,140,-12,17,-,"1,352.20",137.75,130,"1,375.05","1,400.00",65,"24,200.00",130,5.80,6.00,"2,925",-1.30,6.00,26.90,"4,10,791","19,856","47,752",
,9,-3,15,-,"1,266.05",-98.45,65,"1,283.90","1,392.75","1,365","24,250.00","1,820",5.95,6.25,"2,210",-1.10,6.25,26.23,"1,81,866","6,809","12,608",
,164,-3,32,46.76,"1,387.65",203.90,65,"1,269.25","1,299.50",65,"24,300.00",195,6.35,6.55,"2,080",-1.50,6.55,25.58,"3,79,991","10,573","38,841",
,57,-,-,-,"1,377.70",-,390,"1,185.10","1,293.60","1,235","24,350.00",130,7.00,7.10,"1,755",-1.50,7.10,25.06,"2,08,000","4,289","8,525",
,180,-7,47,-,"1,170.00",110.70,65,"1,165.90","1,221.25",65,"24,400.00",585,7.50,7.60,"1,300",-1.60,7.50,24.43,"3,99,425","12,327","33,943",
,117,1,8,-,"1,126.65",-170.05,130,"1,086.65","1,194.75",390,"24,450.00","1,300",7.95,8.15,"1,300",-1.90,8.15,23.90,"2,20,638","6,684","13,911",
,"4,236",-173,"1,975",-,"1,088.65",139.00,65,"1,087.90","1,094.55",130,"24,500.00","2,00,135",9.00,9.05,260,-1.65,9.00,23.43,"8,34,468","14,968","1,40,346",
,184,-2,6,-,"1,044.30",58.00,65,"1,032.90","1,046.80",65,"24,550.00","1,170",9.65,9.80,"1,300",-1.95,9.65,22.83,"2,93,647","6,603","11,966",
,478,-13,181,-,992.20,157.20,520,986.60,994.80,65,"24,600.00",390,10.50,10.60,"1,430",-2.15,10.50,22.28,"4,47,444","14,499","46,164",
,131,20,168,-,938.25,60.85,65,937.10,947.75,130,"24,650.00","1,300",11.30,11.40,"1,040",-2.45,11.10,21.59,"2,40,683","5,170","13,205",
,653,-24,397,-,895.80,131.70,65,885.45,897.85,65,"24,700.00",260,12.30,12.45,"1,040",-3.00,12.50,21.16,"4,62,993","4,345","62,935",
,246,-36,210,-,842.55,140.50,65,837.50,849.20,65,"24,750.00",260,13.45,13.60,195,-3.55,13.80,20.63,"2,46,204","5,045","18,512",
,"2,874",-89,"1,781",-,796.50,145.55,520,791.95,800.70,65,"24,800.00",260,14.60,14.80,"1,755",-4.55,14.60,19.90,"7,33,942","19,667","1,16,021",
,384,2,710,-,740.90,142.40,"1,235",739.80,752.85,130,"24,850.00",520,16.15,16.40,"1,300",-6.45,16.25,19.38,"2,94,837","4,734","21,943",
,"6,542",-66,"2,086",14.10,702.90,124.85,65,694.20,701.25,260,"24,900.00","1,885",17.65,17.80,455,-7.90,17.65,18.73,"6,15,435","13,619","61,234",
,425,115,"1,119",13.65,653.75,126.15,"1,235",638.90,654.20,65,"24,950.00",650,19.40,19.60,455,-9.50,19.50,18.14,"4,55,059","4,121","20,048",
,"30,469","-3,595","53,619",11.53,601.50,126.10,"1,430",599.60,603.50,520,"25,000.00",325,21.45,21.60,"1,105",-12.75,21.60,17.55,"21,31,180","26,087","1,84,211",
