CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"1,790",-135,"1,082",8.95,"1,096.10",107.95,65,"1,080.05","1,107.80",65,"25,000.00",65,213.60,217.00,65,-31.50,215.95,13.85,"5,399",322,"9,209",
,6,1,3,8.98,"1,055.25",55.95,910,853.60,"1,142.30","1,300","25,050.00",910,204.95,245.60,650,1.80,226.05,13.77,10,7,62,
,17,-2,13,8.62,"1,005.00",76.65,780,985.10,"1,072.60","1,820","25,100.00",65,226.10,241.70,65,-28.60,237.95,13.73,554,107,"1,064",
,6,1,2,9.37,985.45,48.90,325,671.45,"1,068.05",910,"25,150.00",65,173.05,339.75,65,13.45,259.30,13.95,18,7,124,
,172,18,79,9.96,965.00,112.40,325,914.75,990.35,910,"25,200.00",65,256.45,260.55,65,-32.80,262.80,13.65,763,49,"1,327",
,8,1,2,9.50,912.20,49.55,585,677.90,"1,206.80",910,"25,250.00","1,820",249.75,335.10,910,-13.60,268.40,13.40,68,20,185,
,182,85,150,9.20,864.85,78.15,910,839.50,900.00,65,"25,300.00",65,282.00,286.35,65,-34.35,286.10,13.46,528,52,921,
,33,21,21,10.82,884.80,112.40,"2,730",812.45,-,-,"25,350.00",195,290.00,398.25,325,-77.00,278.85,12.86,67,40,188,
,329,52,304,9.16,790.00,88.00,260,791.00,859.80,910,"25,400.00",65,308.55,313.25,65,-43.40,317.40,13.44,755,28,784,
,35,27,60,9.73,775.25,88.60,520,555.45,851.95,"2,210","25,450.00",65,205.55,344.60,65,-44.00,330.00,13.32,124,34,229,
,"3,689",358,"2,104",9.56,735.00,84.75,65,732.20,738.80,65,"25,500.00",65,341.40,346.95,65,-51.55,342.10,13.18,"3,481",336,"6,571",
,48,15,85,10.63,743.50,111.55,715,620.50,730.35,325,"25,550.00",780,342.05,377.45,65,-57.10,363.70,13.27,163,28,210,
,545,-88,778,9.62,671.20,79.60,65,651.00,674.80,260,"25,600.00",65,371.85,376.40,65,-47.30,374.90,13.08,901,101,"1,084",
,41,15,29,9.63,640.00,44.00,780,611.50,677.80,910,"25,650.00",65,291.10,418.85,715,-66.60,390.00,12.98,94,25,140,
,588,45,324,9.60,608.00,74.25,65,595.05,611.00,65,"25,700.00",65,407.25,418.35,65,-64.10,408.15,12.93,791,31,926,
,53,11,78,9.38,568.65,64.45,910,550.15,600.90,65,"25,750.00",65,402.75,448.95,325,-35.30,429.70,12.95,36,19,104,
,816,38,553,9.59,548.35,69.10,65,544.75,550.65,65,"25,800.00",65,445.80,451.95,65,-66.45,449.65,12.91,673,20,"1,354",
,49,6,51,9.80,529.25,9.70,910,488.95,587.00,"1,820","25,850.00",65,448.55,505.75,910,-39.05,436.20,12.09,11,4,75,
,604,47,300,9.62,494.10,62.30,65,478.50,496.00,65,"25,900.00",65,461.05,518.55,65,-58.85,499.05,13.02,298,-4,613,
,67,18,24,9.47,461.25,64.25,195,451.00,480.00,975,"25,950.00",65,452.05,573.05,65,-79.95,516.00,12.87,47,28,96,
,"6,934",113,"4,468",9.65,443.70,61.40,65,437.05,443.05,65,"26,000.00",65,537.40,543.30,65,-76.30,540.85,12.89,"4,201",-335,"6,457",
,58,4,6,10.32,448.75,103.80,325,396.05,443.50,845,"26,050.00",910,425.10,622.05,585,-40.10,527.70,12.02,10,-1,52,
,816,87,583,9.50,389.00,50.80,195,389.00,391.75,65,"26,100.00",650,501.10,592.95,65,-66.75,595.30,12.98,141,51,547,
,49,15,28,9.86,382.00,71.65,910,278.65,397.95,650,"26,150.00",585,490.70,669.30,65,-118.25,581.90,12.07,3,3,36,
,972,-12,556,9.49,344.10,42.80,65,333.35,347.00,65,"26,200.00",65,612.95,660.85,65,-73.05,649.65,13.01,297,41,828,
,51,1,3,9.85,339.00,55.30,715,238.90,427.40,910,"26,250.00",910,440.55,936.95,"1,300",-73.70,633.90,12.01,2,-,92,
,"1,062",53,809,9.44,301.55,36.00,130,299.10,303.15,65,"26,300.00",65,650.55,717.30,65,-77.95,704.65,13.00,78,44,990,
,70,18,29,9.78,296.70,43.65,520,207.90,310.70,780,"26,350.00",-,-,979.15,"1,300",-55.35,704.25,12.32,2,-,23,
,744,53,532,9.46,264.90,35.55,65,261.15,265.40,65,"26,400.00",910,657.55,779.65,65,-94.05,742.30,12.51,11,4,355,
,67,3,6,10.03,271.05,-5.95,325,182.85,285.80,910,"26,450.00","1,755",503.55,"1,127.30","1,300",-91.60,802.75,13.23,13,9,17,
