CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"2,762",1,1,-,"6,640.00",122.60,65,"6,628.40","6,702.90",65,"19,000.00",780,5.50,5.90,"1,495",-0.70,5.50,38.20,"1,369",-274,"4,543",
,459,-,-,-,"5,525.00",-18.50,65,"5,631.70","5,898.85","1,690","20,000.00",780,8.65,8.90,650,-0.05,8.90,34.39,"1,708",189,"10,121",
,"5,894",-97,307,-,"4,711.10",166.05,520,"4,704.15","4,728.65",65,"21,000.00",195,10.50,12.00,"37,375",-0.85,10.50,29.17,"4,086",378,"14,536",
,"5,923",8,82,-,"3,731.90",184.65,65,"3,703.05","3,730.95",65,"22,000.00",975,15.25,16.00,520,-1.60,15.95,24.89,"16,047","2,250","20,657",
,"12,209",-40,317,-,"2,745.05",111.25,65,"2,728.60","2,753.85",65,"23,000.00",455,26.30,27.95,65,-1.55,26.30,20.67,"26,172","3,981","35,709",
,11,4,8,-,"2,675.00",101.80,"1,495","2,350.55","2,745.95","1,690","23,100.00",650,30.00,31.00,455,1.15,30.95,20.67,385,82,341,
,1,-,-,-,"2,172.25",-,"1,690","2,184.05","2,678.85","1,690","23,150.00",455,30.15,32.35,455,2.55,32.00,20.48,41,5,77,
,5,-,2,-,"2,560.75",174.55,"1,690","2,159.55","2,652.65","1,690","23,200.00",455,30.95,33.00,455,-0.05,31.80,20.13,378,61,663,
,1,-,-,-,"2,084.45",-,"1,755","2,202.45","2,598.50","1,690","23,250.00",455,32.80,34.70,455,-0.60,33.95,20.07,59,-16,161,
,4,-1,3,-,"2,444.85",63.75,"1,690","2,073.60","2,530.80","1,690","23,300.00",455,33.65,35.45,455,-0.05,35.10,19.87,897,188,"1,680",
,1,-,-,-,"2,630.65",5.75,"1,690","2,109.30","2,499.90","1,690","23,350.00",455,34.95,36.65,455,-2.35,35.35,19.57,222,-25,185,
,15,-,10,14.32,"2,420.00",156.25,"1,560","2,049.35","2,433.15","1,690","23,400.00",455,36.80,38.25,780,-,37.90,19.53,"1,346",2,"3,686",
