date,close
2026-01-06,25178.77
2026-01-07,26178.75
2026-01-08,25876.85
2026-01-09,25683.30
2026-01-12,25790.25
2026-01-13,25732.30
2026-01-14,25665.60
2026-01-16,25694.35
2026-01-19,25585.50
2026-01-20,25232.50
2026-01-21,25157.50
2026-01-22,25289.90
2026-01-23,25048.65
2026-01-27,25175.40
2026-01-28,25342.75
2026-01-29,25148.90
2026-01-30,25320.65
2026-02-01,24825.45
2026-02-02,25088.40
2026-02-03,25727.55
2026-02-04,25776.00
2026-02-05,25642.80
2026-02-06,25693.70
2026-02-09,25867.30
2026-02-10,25935.15
2026-02-11,25953.85	
2026-02-12,25807.20
2026-02-16,25682.75



















































































































































































































































































































































































































































































































































































































































































































































































































2026-02-13,25471.10






