CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,6,-1,2,-,"2,300.00",-278.35,65,"2,264.80","2,329.15",65,"23,100.00","1,365",3.45,3.55,585,0.45,3.55,36.25,"2,21,305","21,663","76,100",
,45,-,-,-,"2,583.40",-,65,"2,223.05","2,299.20",65,"23,150.00","2,015",3.55,3.65,325,0.55,3.65,35.68,"45,151","3,251","5,587",
,5,-,-,-,"2,478.15",-,390,"2,157.95","2,276.50",390,"23,200.00","1,755",3.90,4.05,130,0.90,4.00,35.39,"1,11,683","-2,598","23,085",
,2,-,-,-,"2,480.90",-,390,"2,112.10","2,216.25",390,"23,250.00","1,170",3.90,4.00,260,0.70,3.95,34.63,"28,638",729,"2,124",
,42,-,-,-,"2,430.00",-,65,"2,063.90","2,122.65",65,"23,300.00","2,080",3.85,4.00,"1,365",0.70,4.00,33.98,"98,533","4,729","25,011",
,2,-,-,-,"2,381.35",-,65,"2,020.65","2,093.70",65,"23,350.00","1,560",4.10,4.25,"1,560",0.60,4.05,33.32,"34,680","1,199","2,986",
,24,-,-,-,"2,338.85",-,65,"1,964.00","2,019.50",65,"23,400.00","4,095",4.10,4.20,"3,835",0.75,4.20,32.77,"68,161","5,817","17,631",
,3,-,-,-,"2,281.65",-,65,"1,921.10","2,004.85",65,"23,450.00","1,755",4.50,4.60,"12,285",0.90,4.55,32.41,"28,142",323,"2,014",
,"7,389",-239,341,-,"1,915.60",-411.90,65,"1,907.45","1,916.15",65,"23,500.00","2,210",4.50,4.75,"1,170",0.80,4.45,31.60,"2,45,559",221,"67,632",
,3,-,-,-,"2,187.95",-3.95,390,"1,814.45","1,876.70",65,"23,550.00",325,4.90,5.15,260,1.10,4.90,31.30,"25,522",113,"1,612",
,14,-,-,-,"2,082.00",-,65,"1,780.35","1,820.55",65,"23,600.00","1,755",5.10,5.30,"1,755",1.30,5.25,30.87,"90,221","-5,025","8,303",
,23,-,-,-,"2,075.30",-,"1,755","1,544.10","1,797.10",65,"23,650.00","2,015",5.35,5.55,"1,755",1.40,5.50,30.35,"23,505",102,"1,686",
,22,-,4,56.91,"1,900.60",-150.40,65,"1,665.30","1,751.15",65,"23,700.00","1,755",5.55,5.70,"1,755",1.35,5.50,29.61,"65,843","-3,494","8,513",
,223,-,-,-,"1,985.05",-,65,"1,615.55","1,680.35",65,"23,750.00","1,300",5.85,6.00,"1,040",1.60,6.00,29.25,"44,090","1,033","4,438",
,92,-3,14,-,"1,620.90",-337.75,65,"1,566.40","1,667.05","1,755","23,800.00","1,560",6.00,6.20,"2,015",1.80,6.20,28.65,"1,58,156","-5,298","24,529",
,28,-,-,-,"1,884.00",-,390,"1,515.65","1,622.05","1,040","23,850.00","4,485",6.35,6.55,390,1.85,6.55,28.14,"37,879",-510,"2,313",
,98,-4,6,57.21,"1,734.90",-97.70,390,"1,463.70","1,521.05",65,"23,900.00","1,755",6.65,6.75,"2,275",1.90,6.75,27.51,"90,229",-692,"12,968",
,9,-,-,-,"1,788.45",-,390,"1,417.60","1,519.35","1,040","23,950.00","1,755",6.70,7.10,"1,755",1.85,6.95,26.88,"42,609","1,692","4,803",
,"10,470","-1,826","2,343",-,"1,419.40",-415.10,65,"1,413.30","1,420.95",65,"24,000.00","1,235",7.35,7.40,"2,015",2.00,7.40,26.38,"5,63,437",883,"1,39,709",
,6,-,-,-,"1,685.55",-,65,"1,346.50","1,419.50","1,040","24,050.00","2,535",7.60,7.80,"1,560",2.10,7.65,25.75,"48,115","1,046","3,792",
,111,-1,1,50.27,"1,520.00",-139.65,65,"1,297.20","1,349.25",65,"24,100.00","1,040",7.65,8.20,845,2.50,8.20,25.27,"1,48,199",-806,"15,251",
,31,-,-,-,"1,591.60",-,390,"1,218.55","1,319.55","1,430","24,150.00","1,560",8.25,8.55,"1,560",2.40,8.45,24.61,"46,539",126,"2,812",
,152,4,15,-,"1,212.05",-438.30,65,"1,209.80","1,229.25",65,"24,200.00","1,040",8.50,8.85,"1,365",2.75,8.95,24.07,"2,24,312","-4,026","27,896",
,12,-4,4,45.86,"1,364.50",-133.90,65,"1,142.30","1,184.45",65,"24,250.00","1,235",9.10,9.25,"1,690",2.80,9.25,23.41,"69,749","1,586","5,799",
,167,-17,46,-,"1,155.80",-356.50,65,"1,109.80","1,123.85",130,"24,300.00","2,405",9.40,9.55,325,2.85,9.55,22.74,"2,39,801","-1,356","28,268",
,57,-,-,-,"1,377.70",-,390,"1,022.40","1,122.20","1,300","24,350.00","1,365",10.25,10.40,845,3.20,10.20,22.20,"97,197",-161,"4,236",
,187,-11,34,-,"1,035.10",-370.90,65,"1,013.50","1,026.75",65,"24,400.00",65,10.95,11.00,65,3.55,10.90,21.65,"2,49,530","-4,447","21,616",
,116,-,-,-,"1,297.65",0.95,390,924.35,"1,024.60","1,430","24,450.00",65,11.90,11.95,195,4.20,11.85,21.17,"1,09,567",-49,"7,227",
,"4,409",-145,"1,393",-,920.40,-415.60,65,920.90,923.00,520,"24,500.00","2,470",12.70,12.85,130,4.75,12.85,20.66,"6,13,584","9,684","1,25,378",
,186,2,13,27.51,986.30,-277.70,65,869.60,878.00,130,"24,550.00",910,13.85,14.00,455,5.65,14.00,20.16,"1,12,160",581,"5,363",
,491,-42,125,-,826.50,-410.55,65,820.85,828.50,65,"24,600.00","1,430",15.25,15.35,130,6.50,15.25,19.65,"3,41,897","-4,416","31,665",
,111,-,26,23.86,877.40,-301.75,65,771.90,781.10,130,"24,650.00","1,365",16.80,16.95,260,7.40,16.75,19.17,"2,34,039","-12,316","8,035",
,677,-55,278,-,725.45,-417.45,130,724.65,733.85,65,"24,700.00",260,18.55,18.75,"1,430",9.00,18.55,18.71,"3,78,493","-1,035","58,590",
,282,-10,73,-,684.80,-383.30,65,677.75,686.55,65,"24,750.00",455,20.80,20.90,"4,615",10.65,20.80,18.29,"1,77,852","1,344","13,467",
,"2,963",-21,669,-,636.00,-402.35,195,633.60,635.60,130,"24,800.00",520,23.35,23.60,520,12.65,23.35,17.87,"5,49,745","43,312","96,354",
,382,35,226,-,588.90,-396.05,130,584.90,588.75,260,"24,850.00",260,26.90,27.15,260,15.65,26.95,17.57,"2,11,227","7,990","17,209",
,"6,608",3,"1,181",-,543.15,-397.05,65,539.00,545.25,65,"24,900.00",260,30.75,31.00,"2,535",19.00,31.00,17.25,"4,49,364","6,462","47,615",
,310,46,296,-,496.45,-390.80,130,494.40,497.95,260,"24,950.00","1,560",35.20,35.50,780,22.85,35.50,16.90,"2,85,660","3,643","15,927",
,"34,064","1,880","28,087",-,450.50,-393.15,260,450.60,451.60,"2,535","25,000.00",780,41.00,41.20,455,27.60,41.20,16.63,"11,69,980","26,822","1,58,124",
,699,180,"1,757",-,409.90,-382.70,325,407.40,408.80,260,"25,050.00",195,47.15,47.45,"1,690",33.15,47.45,16.31,"3,09,316","5,043","17,327",
,"5,808",604,"8,384",-,364.05,-380.90,260,364.60,366.10,390,"25,100.00",195,54.35,54.70,390,38.85,54.35,15.96,"7,43,679","19,250","66,959",
,812,175,"2,443",-,324.20,-371.70,390,324.30,326.95,520,"25,150.00","1,495",63.75,63.95,260,46.95,63.90,15.78,"4,91,357","-6,525","21,757",
,"15,211","2,574","26,731",-,286.55,-361.55,260,285.40,286.60,260,"25,200.00",455,75.00,75.20,910,56.70,75.30,15.65,"10,23,780",271,"72,900",
,"1,886",963,"10,841",6.53,249.05,-351.75,130,248.60,249.60,195,"25,250.00",260,88.15,88.60,"1,105",67.75,88.45,15.53,"6,21,084","-1,123","20,718",
,"21,502","7,465","86,170",7.67,214.90,-338.50,260,214.05,214.80,65,"25,300.00",585,103.50,103.90,130,80.35,103.50,15.43,"12,23,205","1,270","62,879",
,"5,530","4,173","42,511",8.32,183.30,-323.90,65,182.75,183.15,195,"25,350.00","1,300",121.60,122.00,"7,540",95.65,121.60,15.42,"9,34,998","-3,056","33,004",
,"42,347","28,934","2,82,609",8.68,153.65,-306.55,390,153.45,154.00,325,"25,400.00",195,142.95,143.55,910,113.30,143.10,15.53,"18,00,401","13,497","93,245",
,"32,045","30,159","2,21,067",9.03,127.95,-287.05,390,127.95,128.35,195,"25,450.00",260,166.80,167.25,390,132.45,167.00,15.66,"12,63,944","-5,834","28,161",
,"1,18,003","70,794","10,56,909",9.29,105.10,-265.70,195,104.75,105.10,"6,240","25,500.00",195,193.75,194.40,390,153.50,193.90,15.86,"29,74,406","-51,972","86,610",
,"42,651","37,017","6,95,003",9.55,85.90,-241.65,65,85.70,85.90,195,"25,550.00",195,224.10,224.95,260,176.00,223.85,16.13,"17,05,129","-14,859","21,911",
,"1,75,371","1,40,319","21,03,719",9.75,69.15,-218.70,65,68.90,69.25,455,"25,600.00",195,257.45,258.40,455,201.50,258.45,16.64,"30,26,185","-45,371","58,975",
,"63,116","51,346","11,86,590",10.09,56.70,-191.65,325,56.55,56.70,195,"25,650.00",260,294.35,295.40,195,227.45,295.35,17.21,"17,02,542","-41,343","14,506",
,"1,89,370","1,19,766","24,87,890",10.32,45.45,-166.75,585,45.35,45.70,650,"25,700.00",130,333.35,334.70,260,252.10,333.35,17.74,"28,23,006","-85,544","51,301",
,"96,129","56,277","17,08,934",10.75,38.05,-140.45,325,37.80,38.05,910,"25,750.00",130,375.80,376.95,260,277.95,375.65,18.54,"15,74,480","-36,659","15,830",
,"2,26,148","1,30,815","32,95,800",11.07,31.20,-116.95,"1,040",31.25,31.60,65,"25,800.00",260,418.40,419.95,130,303.00,419.95,19.45,"23,12,768","-37,424","45,795",
,"95,691","59,339","17,51,611",11.44,26.00,-95.05,"1,105",25.85,26.00,65,"25,850.00",260,463.00,465.00,260,324.60,464.10,20.27,"8,75,991","-12,127","8,081",
,"1,45,389","70,749","20,77,286",11.76,21.45,-75.85,650,21.45,21.80,"4,420","25,900.00",260,508.35,510.45,260,342.60,508.50,21.04,"8,21,330","-6,188","21,272",
