CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,1,-,4,-,"2,866.00",6.60,65,"2,852.65","2,875.40",65,"23,100.00","1,235",2.05,2.10,"1,625",-0.10,2.10,36.45,"1,14,733","13,012","60,005",
,1,-,-,-,"2,811.30",-,390,"2,753.45","2,872.85",390,"23,150.00","1,560",2.15,2.30,"1,755",-0.05,2.25,36.13,"32,584",255,"3,306",
,6,-1,1,43.27,"2,802.00",56.55,390,"2,707.40","2,822.85",390,"23,200.00","1,495",2.20,2.30,"1,755",-0.15,2.30,35.62,"44,366","2,809","14,877",
,4,1,2,-,"2,468.45",20.15,390,"2,658.00","2,774.35",390,"23,250.00",390,2.25,2.40,"1,300",-,2.50,35.36,"6,509",71,736,
,10,-,-,-,"2,666.85",1.20,65,"2,607.55","2,725.85",390,"23,300.00","19,890",2.35,2.40,"1,625",-0.05,2.40,34.59,"45,938","1,329","6,471",
,3,-,-,-,"2,608.85",-,65,"2,557.80","2,675.65",390,"23,350.00","1,170",2.30,2.50,"1,040",-0.15,2.45,34.07,"28,596",412,"1,175",
,11,-,-,-,"2,564.50",-3.45,65,"2,508.10","2,625.65",390,"23,400.00","2,080",2.40,2.50,130,-0.15,2.50,33.54,"43,291","1,579","2,935",
,2,-,-,-,"2,487.50",-6.25,65,"2,458.35","2,576.50",390,"23,450.00","1,040",2.40,2.55,"1,690",-0.20,2.50,32.94,"32,117","1,111","1,653",
,79,10,12,-,"2,465.75",18.10,65,"2,453.15","2,474.95",65,"23,500.00","2,015",2.40,2.45,"10,595",-0.35,2.30,32.02,"1,48,771","4,788","31,642",
,3,-,-,-,"2,388.05",-6.10,65,"2,359.20","2,475.70",390,"23,550.00","2,795",2.50,2.65,"3,185",-0.35,2.50,31.73,"35,357","1,586","2,243",
,15,-,-,-,"2,361.85",-5.15,65,"2,309.40","2,425.85",390,"23,600.00","2,015",2.45,2.60,910,-0.55,2.40,30.98,"68,114","4,871","6,673",
,4,-,-,-,"2,317.30",-,65,"2,259.35","2,375.70",390,"23,650.00","6,045",2.55,2.65,"3,250",-0.50,2.60,30.67,"37,104","1,928","2,566",
,11,-,-,-,"2,240.00",-,65,"2,209.65","2,325.75",390,"23,700.00","1,755",2.55,2.70,"3,445",-0.65,2.50,29.92,"92,725","5,081","9,089",
,3,-,-,-,"2,191.50",-4.70,65,"2,159.90","2,275.95",390,"23,750.00","1,495",2.70,2.95,"1,170",-0.50,2.85,29.79,"25,613","1,760","2,379",
,13,1,1,-,"2,161.05",-1.15,65,"2,109.20","2,225.10",390,"23,800.00","1,755",2.65,2.85,"1,755",-0.70,2.70,28.98,"91,974","8,934","20,818",
,3,-,-,-,"2,116.75",-3.30,65,"2,059.40","2,175.00",390,"23,850.00","1,755",2.90,3.10,"1,755",-0.75,2.90,28.63,"23,698","1,018","1,959",
,13,-,-,-,"2,072.80",-,65,"2,010.80","2,125.95",390,"23,900.00",845,3.00,3.15,"1,755",-0.80,3.00,28.14,"43,235","1,916","4,602",
,3,-,-,-,"2,012.60",-4.30,65,"1,959.60","2,074.60",390,"23,950.00","1,495",3.10,3.30,"1,755",-0.65,3.35,27.91,"14,463",678,"1,343",
,437,4,37,-,"1,969.80",0.20,130,"1,958.60","1,969.00",130,"24,000.00","14,625",3.20,3.25,"1,560",-0.85,3.25,27.18,"2,63,234",-413,"79,384",
,3,-,-,-,"1,915.65",-4.20,65,"1,861.90","1,976.45",390,"24,050.00","1,755",3.30,3.50,"1,755",-0.95,3.40,26.72,"13,926",507,"1,167",
,20,-,-,-,"1,844.40",-12.10,65,"1,812.35","1,926.45",390,"24,100.00",520,3.45,3.60,"1,560",-0.90,3.50,26.20,"1,00,031","6,518","10,024",
,5,-,-,-,"1,825.65",-2.20,65,"1,762.70","1,876.60",390,"24,150.00","2,795",3.70,3.95,"1,040",-0.65,3.95,25.99,"17,525",767,"1,231",
,15,-,-,-,"1,762.45",-,65,"1,713.10","1,826.90",390,"24,200.00","2,405",3.85,4.10,"1,755",-0.75,3.90,25.31,"90,602","6,148","17,188",
,6,-,-,-,"1,712.05",-,65,"1,670.95","1,773.75",390,"24,250.00","1,755",3.95,4.30,"1,755",-0.60,4.25,24.98,"37,163",815,"2,066",
,17,-1,1,-,"1,646.40",-10.65,65,"1,612.40","1,671.60",65,"24,300.00","1,755",4.30,4.55,"1,755",-0.75,4.35,24.42,"1,01,458","7,896","16,495",
,7,-1,1,-,"1,627.35",10.10,65,"1,564.25","1,626.65",65,"24,350.00","1,170",4.55,4.70,"1,755",-0.90,4.55,23.93,"42,082","1,731","2,839",
,53,22,42,-,"1,591.35",36.90,65,"1,514.65","1,572.80",195,"24,400.00","2,015",4.75,4.90,"2,275",-0.65,4.90,23.53,"1,43,689","9,381","19,883",
,7,-,6,27.24,"1,558.00",42.15,65,"1,465.50","1,527.05",65,"24,450.00",650,5.05,5.25,"1,300",-0.85,5.10,23.02,"46,673","1,755","4,266",
,752,-1,29,-,"1,475.00",16.70,65,"1,461.90","1,469.95",130,"24,500.00","4,095",5.40,5.45,"4,550",-0.65,5.45,22.59,"3,33,138","53,334","1,08,554",
,23,-,-,-,"1,424.45",-,65,"1,405.80","1,478.40",390,"24,550.00",195,5.55,5.70,"1,625",-0.70,5.70,22.08,"49,551","2,025","3,532",
,206,-2,13,-,"1,372.25",12.35,65,"1,362.45","1,371.75",195,"24,600.00","1,300",5.95,6.00,780,-0.70,5.95,21.55,"1,81,251","7,844","23,482",
,13,3,13,22.60,"1,353.90",31.60,65,"1,267.25","1,328.30",65,"24,650.00","2,600",6.15,6.30,"1,755",-0.70,6.30,21.07,"43,697","1,886","3,299",
,280,-33,121,-,"1,273.30",0.60,65,"1,236.55","1,276.90",65,"24,700.00","1,755",6.35,6.55,"1,755",-0.80,6.50,20.50,"2,58,390","8,814","28,731",
,112,-1,1,-,"1,215.00",-2.15,195,"1,214.05","1,279.15",325,"24,750.00",650,6.45,6.85,325,-0.80,6.85,19.99,"75,179","1,090","4,447",
,568,-259,638,-,"1,172.85",6.65,65,"1,164.55","1,172.50",65,"24,800.00",585,7.05,7.20,455,-0.85,7.20,19.46,"1,99,029","10,865","29,908",
,182,124,155,-,"1,124.95",24.95,65,"1,091.65","1,128.75",65,"24,850.00","1,105",7.55,7.70,"1,755",-1.05,7.55,18.92,"83,472","1,139","4,070",
,624,-55,481,-,"1,077.35",14.30,195,"1,065.00","1,074.00",130,"24,900.00",650,7.80,8.15,"2,925",-0.90,8.10,18.44,"1,89,726","5,613","25,171",
,147,-7,30,-,"1,024.90",26.00,130,"1,018.20","1,029.30",65,"24,950.00","2,730",8.60,8.75,"2,405",-0.95,8.65,17.94,"87,199","3,955","10,183",
,"3,486",-561,"3,883",-,971.85,11.80,130,970.00,974.35,65,"25,000.00",910,9.10,9.25,"2,210",-1.05,9.20,17.42,"3,98,166","14,133","83,261",
,326,-37,81,-,926.05,6.90,65,919.95,926.55,195,"25,050.00","1,430",9.55,9.65,"1,300",-1.35,9.60,16.83,"86,083","2,381","9,271",
,"1,214",-232,920,-,877.15,13.40,130,870.85,875.05,65,"25,100.00","1,560",10.15,10.30,"1,170",-1.15,10.15,16.27,"1,87,431","5,913","23,887",
,666,-42,285,-,828.65,16.30,65,823.60,826.40,65,"25,150.00","1,300",10.75,11.10,390,-1.55,10.60,15.66,"1,11,481","6,424","13,167",
,"3,272",-85,923,-,777.00,5.05,65,774.25,776.95,130,"25,200.00","1,820",11.45,11.75,"12,805",-1.30,11.75,15.22,"2,59,840","10,752","37,628",
