CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,4,2,2,-,"2,920.00",201.30,"1,755","2,351.00",-,-,"23,100.00",195,51.35,53.30,260,-4.65,51.35,18.38,660,237,"1,053",
,-,-,-,-,-,-,325,"2,257.85",-,-,"23,150.00",65,40.10,-,-,-0.60,50.25,18.04,172,30,46,
,1,-,1,-,"2,787.55",146.05,"1,755","2,262.85",-,-,"23,200.00",390,51.15,55.70,520,-5.55,52.85,17.99,304,26,155,
,1,-,-,-,"2,607.25",-,390,"2,169.65",-,-,"23,250.00",65,52.00,-,-,-4.70,54.30,17.84,845,-117,93,
,-,-,-,-,-,-,"1,040","2,125.10",-,-,"23,300.00",195,45.00,-,-,-5.55,55.70,17.69,397,-208,304,
,1,-1,1,-,"2,681.70",172.55,65,"2,088.50",-,-,"23,350.00",130,46.30,-,-,-,42.60,-,-,-,10,
,2,-,2,-,"2,641.15",172.00,"1,755","2,036.70",-,-,"23,400.00","1,300",32.65,-,-,-7.05,58.00,17.34,131,11,107,
,-,-,-,-,-,-,"1,755","2,032.35",-,-,"23,450.00","1,300",33.10,-,-,-3.80,63.30,17.44,21,13,39,
,8,4,7,-,"2,523.55",156.75,65,"2,525.60","2,599.65",65,"23,500.00",650,62.90,65.00,65,-10.70,63.00,17.16,"2,242",209,"2,076",
,-,-,-,-,-,-,"1,755","1,998.25",-,-,"23,550.00","1,300",38.20,-,-,-15.75,62.00,16.83,29,15,40,
,1,-,1,-,"2,420.65",138.95,"1,755","1,992.10",-,-,"23,600.00","1,300",35.15,-,-,-12.50,64.85,16.75,27,17,88,
,1,-,1,-,"2,362.70",130.45,"1,755","1,948.10",-,-,"23,650.00","1,300",36.50,-,-,-2.20,75.30,17.11,5,5,29,
,-,-,-,-,-,-,"1,755","1,904.10",-,-,"23,700.00",65,37.25,75.70,65,-10.70,68.20,16.43,13,8,59,
,1,-,1,-,"2,269.25",125.80,"1,755","1,860.10",-,-,"23,750.00","1,300",38.10,93.25,910,-2.70,79.05,16.79,11,8,39,
,1,-,2,-,"2,260.95",173.30,"1,755","1,874.15",-,-,"23,800.00",65,72.00,82.70,325,-12.45,75.50,16.32,50,-,388,
,1,-,2,-,"2,214.10",172.10,"1,755","1,772.10",-,-,"23,850.00",910,42.55,-,-,-,84.40,16.53,1,1,33,
,1,-,2,-,"2,167.55",170.80,"1,755","1,786.50",-,-,"23,900.00",910,42.55,90.60,650,-1.85,90.60,16.57,3,-,271,
,8,-,-,-,"1,955.45",-5.45,"1,235","1,456.90",-,-,"23,950.00","1,300",45.50,85.05,715,-11.20,79.55,15.72,7,-1,44,
,313,11,20,-,"2,080.00",180.50,65,"2,068.75","2,106.90",65,"24,000.00",65,83.30,85.00,65,-17.45,85.00,15.73,"5,138",971,"5,947",
,2,-,-,-,"1,861.25",-,"1,755","1,670.45",-,-,"24,050.00",780,83.70,90.80,910,-2.45,91.75,15.79,20,-,45,
,20,-,-,-,"1,791.40",-5.50,"1,170","1,622.85",-,-,"24,100.00",65,85.35,90.00,650,-11.60,95.00,15.66,168,101,219,
,20,-,-,-,"1,748.20",-5.15,"1,755","1,508.80",-,-,"24,150.00",910,60.15,95.65,910,1.85,97.05,15.48,10,-6,23,
,20,-,-,-,"1,884.25",-,"1,040","1,540.20","2,338.30","1,755","24,200.00",65,91.30,94.85,65,-24.35,92.15,14.96,338,196,849,
,20,-,-,-,"2,015.95",-0.60,"1,235","1,412.80",-,-,"24,250.00",910,86.25,-,-,-17.80,97.70,14.94,9,-4,31,
,21,-,-,-,"1,973.30",0.10,585,"1,458.40","2,235.00","1,755","24,300.00",65,98.35,103.95,65,-23.60,102.70,14.87,370,178,483,
,2,-,-,-,"1,613.00",-,"1,755","1,332.10",-,-,"24,350.00",65,99.05,-,-,-21.25,106.00,14.72,34,4,27,
,1,-,-,-,"1,511.40",-4.60,585,"1,379.70","2,131.65","1,755","24,400.00",65,107.70,110.10,195,-24.35,109.50,14.58,656,207,"1,218",
,2,-1,3,-,"1,658.15",139.45,"1,755","1,338.60","2,073.45","1,755","24,450.00",65,108.25,122.30,65,-26.20,115.15,14.52,13,5,63,
,599,-,114,-,"1,630.70",119.25,65,"1,628.25","1,646.90",65,"24,500.00",65,123.05,123.65,65,-27.90,123.50,14.55,"2,216",522,"5,923",
,20,-,-,-,"1,691.50",-1.75,"1,170","1,261.00",-,-,"24,550.00",650,121.70,130.50,65,-0.50,126.00,14.34,30,29,73,
,5,1,1,-,"1,457.55",67.00,65,"1,224.10","1,740.95",65,"24,600.00",65,126.60,130.95,130,-28.65,128.75,14.14,617,67,"1,058",
,1,-,-,-,"1,310.70",-5.10,780,"1,181.95","1,877.00","1,755","24,650.00",65,132.35,152.90,910,-7.80,134.95,14.07,10,10,57,
,43,2,5,-,"1,450.00",140.00,65,"1,171.05","1,501.90",975,"24,700.00",65,140.00,148.00,65,-33.50,141.35,13.98,384,134,"1,417",
,1,-,-,-,"1,240.70",-4.40,"1,755","1,115.80",-,-,"24,750.00",910,125.35,308.35,910,0.15,169.95,14.65,9,-3,78,
,23,-,2,5.59,"1,363.45",97.85,65,"1,090.65","1,738.15",65,"24,800.00",195,151.50,153.70,65,-41.70,151.50,13.70,816,71,"2,643",
,1,-,-,-,"1,168.25",-4.30,"1,755",914.95,-,-,"24,850.00",910,60.40,184.45,910,-21.75,171.10,14.03,15,-5,105,
,70,-,5,7.18,"1,281.25",109.90,65,"1,019.25","1,643.00",65,"24,900.00",65,165.65,170.25,65,-40.35,167.75,13.59,486,4,"1,561",
,3,1,1,-,"1,158.90",78.25,"1,300","1,034.95","1,599.45",325,"24,950.00",65,171.45,185.95,65,-7.40,177.95,13.58,129,49,82,
,"1,598",6,400,8.51,"1,213.30",161.50,65,"1,204.55","1,221.80",65,"25,000.00",65,188.00,189.10,65,-46.40,189.10,13.59,"3,469",694,"8,345",
,2,-,-,-,"1,025.25",-4.10,"1,300",899.60,"1,479.65",910,"25,050.00",65,182.35,203.00,65,-36.30,198.20,13.52,6,-4,28,
,60,-,13,8.10,"1,118.00",144.60,65,"1,116.05","1,152.35",65,"25,100.00",65,203.35,206.45,65,-48.65,206.90,13.42,623,98,812,
,5,2,4,8.23,"1,078.25",121.90,65,653.45,"1,417.25",65,"25,150.00",65,209.20,223.15,65,-68.50,211.45,13.20,60,14,75,
,110,23,65,8.57,"1,045.00",137.60,65,"1,036.80","1,069.95",65,"25,200.00",130,225.00,227.75,65,-53.15,227.10,13.29,293,2,938,
,5,-1,3,8.38,999.00,114.50,65,864.65,"1,320.55",65,"25,250.00",585,223.65,249.45,715,-14.60,265.35,13.96,50,15,114,
,87,-4,22,8.21,953.50,110.20,65,962.35,997.75,65,"25,300.00",65,245.40,249.00,130,-56.50,248.00,13.12,363,65,611,
,8,2,2,8.74,929.70,103.75,65,701.45,984.60,"1,690","25,350.00",325,240.75,274.75,585,-12.00,294.60,13.96,44,13,101,
,210,22,78,8.70,889.70,117.20,65,890.75,919.30,65,"25,400.00",65,272.05,272.90,260,-64.90,272.50,13.00,300,77,581,
,11,3,39,8.90,858.40,106.90,65,861.45,886.40,65,"25,450.00",65,272.05,296.60,65,-65.95,288.80,13.02,106,15,127,
,"3,184",-42,900,9.32,836.80,127.10,65,832.20,837.05,195,"25,500.00",195,301.20,302.10,65,-69.40,301.85,12.95,"2,609",407,"5,890",
,42,-11,74,8.91,785.90,108.45,65,780.50,799.70,65,"25,550.00",65,301.25,323.55,65,-67.40,317.00,12.91,78,9,109,
,458,46,356,9.72,781.45,144.95,65,752.40,776.35,715,"25,600.00",65,328.70,332.15,65,-66.90,337.35,12.99,500,154,636,
,7,-1,3,6.96,643.00,34.55,390,715.40,757.30,585,"25,650.00",65,344.05,348.50,65,-75.95,348.45,12.83,46,19,78,
,429,23,197,9.17,693.00,105.25,65,692.90,704.75,65,"25,700.00",65,361.55,365.35,65,-83.90,365.00,12.79,499,191,640,
,25,-3,6,8.67,639.85,38.20,65,641.50,692.85,910,"25,750.00",65,364.75,388.90,65,-59.80,382.25,12.75,13,4,59,
,606,168,575,9.57,645.70,110.75,65,632.60,637.65,65,"25,800.00",65,395.95,399.55,65,-83.90,400.10,12.71,926,244,980,
,27,3,16,8.11,553.00,7.75,910,584.80,625.60,"1,430","25,850.00",325,380.10,435.00,910,-70.70,431.35,12.96,15,-,53,
,451,49,244,9.16,567.55,90.05,65,564.95,587.10,65,"25,900.00",65,430.10,447.90,65,-76.70,437.70,12.63,166,53,461,
,62,-2,21,9.19,540.00,87.05,65,543.15,562.95,65,"25,950.00",65,416.35,478.10,715,-48.00,466.25,12.79,6,1,40,
,"6,244",753,"4,333",9.38,520.45,85.80,65,518.30,522.75,65,"26,000.00",65,479.05,479.75,65,-98.90,479.75,12.59,"2,770",291,"5,762",
,61,-4,48,9.25,487.45,73.15,65,485.20,498.45,65,"26,050.00",65,493.05,505.85,65,-97.45,502.55,12.59,9,1,36,
,537,21,166,9.22,460.00,80.65,65,461.30,466.50,65,"26,100.00",65,514.90,535.25,130,-106.20,523.00,12.52,112,23,385,
,30,-2,11,8.29,392.95,-18.95,65,427.10,475.25,910,"26,150.00",65,337.40,600.00,585,-59.25,566.00,12.94,2,-,30,
,"1,121",237,933,9.28,413.15,72.65,65,414.50,418.60,65,"26,200.00",65,555.25,577.45,65,-108.75,571.55,12.51,172,-25,735,
,48,6,15,9.09,381.20,47.70,65,383.80,401.90,65,"26,250.00",65,380.85,-,-,-73.85,620.05,13.01,2,-,79,
,861,-153,"1,004",9.28,367.40,67.10,65,366.60,370.90,65,"26,300.00",65,605.25,626.90,65,-114.25,620.00,12.43,103,39,828,
,24,6,11,9.07,336.00,41.00,65,340.00,366.60,910,"26,350.00",65,605.25,664.15,455,-87.05,664.45,12.82,5,-1,23,
,553,81,361,9.26,323.90,58.40,65,323.90,327.20,65,"26,400.00",65,662.95,688.35,65,-92.80,694.50,12.88,8,-7,324,
,40,-1,7,9.15,299.25,42.60,65,299.05,321.30,65,"26,450.00","1,755",482.95,989.45,"1,300",-80.80,725.95,12.95,3,1,7,
,"4,560",523,"2,763",9.36,289.65,56.60,65,288.05,290.00,455,"26,500.00",65,733.30,737.40,65,-139.45,731.30,12.42,730,-117,"1,834",
,118,69,172,9.27,267.55,47.40,65,253.65,282.80,65,"26,550.00","1,755",530.60,"1,068.40","1,755",-127.20,762.45,12.46,3,1,8,
,758,313,648,9.21,247.85,45.35,65,247.10,254.95,65,"26,600.00",65,748.65,822.50,65,-38.00,822.90,13.15,2,-1,174,
,35,2,11,8.39,197.80,6.70,910,214.15,474.15,910,"26,650.00","1,755",593.75,-,-,-81.65,857.65,13.25,3,-1,5,
,595,31,379,9.23,216.40,41.50,65,216.80,219.70,65,"26,700.00",65,832.00,878.95,65,-74.60,888.40,13.24,8,-7,108,
,48,15,39,9.26,203.00,32.00,65,191.15,218.15,65,"26,750.00","1,755",658.30,"1,224.85","1,755",-58.45,925.70,13.37,3,-1,6,
,909,56,813,9.24,188.00,33.90,65,187.00,190.00,130,"26,800.00",65,883.10,949.30,130,-95.60,955.95,13.32,8,-4,111,
,60,12,51,9.07,168.55,31.65,65,157.55,184.45,65,"26,850.00","1,755",725.40,-,-,-86.35,998.15,13.54,2,-,5,
,536,81,308,9.24,162.50,32.10,65,156.15,180.40,65,"26,900.00",65,967.00,"1,170.45",65,-82.90,"1,031.05",13.53,50,-25,27,
,55,8,26,9.32,153.25,30.95,65,113.55,249.95,325,"26,950.00","1,755",757.65,-,-,-152.00,"1,050.10",13.17,2,-,5,
,"8,373",593,"4,063",9.31,141.95,28.30,"1,170",141.50,141.80,65,"27,000.00",65,"1,071.85","1,087.05",65,-161.60,"1,080.75",13.07,231,10,"1,031",
,49,14,55,8.52,105.50,40.50,-,-,140.75,715,"27,050.00",-,-,-,-,-,"1,005.25",-,-,-,6,
,"1,871",337,807,9.21,118.00,26.00,65,116.45,132.50,65,"27,100.00","1,755",889.00,"1,502.90","1,755",-,"1,285.50",-,-,-,5,
,326,32,87,8.67,92.60,2.70,455,80.40,150.90,910,"27,150.00",-,-,-,-,-,"1,076.25",-,-,-,5,
,-,-,-,-,-,-,-,-,-,-,"27,200.00",65,902.40,-,-,-,"1,150.05",-,-,-,1,
,-,-,-,-,-,-,910,77.40,-,-,"27,250.00","1,755",927.15,-,-,-,"1,423.00",-,-,-,1,
,"1,535",651,"1,184",9.22,85.00,14.30,65,78.15,85.00,195,"27,300.00","1,755","1,044.95","1,682.05","1,755",-147.80,"1,324.30",13.76,3,-1,1,
,45,28,35,9.36,81.65,15.85,"1,300",32.00,100.35,910,"27,350.00",-,-,"1,717.05",455,-,"1,240.80",-,-,-,1,
,-,-,-,-,-,-,-,-,-,-,"27,400.00","1,755","1,033.90",-,-,-,"1,552.20",-,-,-,2,
,-,-,-,-,-,-,910,63.25,-,-,"27,450.00","1,755","1,079.30",-,-,-,"1,596.85",-,-,-,1,
,"1,814",179,"2,128",9.41,64.00,9.60,260,64.00,64.65,65,"27,500.00",65,"1,480.00","1,898.80",910,-154.05,"1,501.85",14.48,4,1,62,
