CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,1,-,-,-,"2,866.00",-,390,"2,540.15","2,777.75",780,"23,100.00","5,395",1.50,1.55,"3,055",-0.10,1.55,78.61,"3,03,187","31,200","1,17,766",
,1,-,-,-,"2,811.30",-,390,"2,498.00","2,602.35",390,"23,150.00","1,625",1.35,1.45,"2,470",-0.25,1.45,76.62,"86,957","7,743","15,072",
,6,1,6,-,"2,400.00",-242.00,65,"2,440.05","2,547.20",65,"23,200.00","1,755",1.60,1.65,65,-0.10,1.70,76.51,"1,28,347","13,001","28,259",
,4,-,-,-,"2,468.45",-,390,"2,398.45","2,497.10",390,"23,250.00","6,175",1.60,1.65,390,-0.20,1.60,74.56,"65,886",51,"2,266",
,6,-3,4,-,"2,293.00",115.25,65,"2,395.25","2,444.10",65,"23,300.00","2,860",1.65,1.70,65,-0.15,1.70,73.62,"1,12,114","9,170","16,647",
,3,-,-,-,"2,608.85",-,65,"1,595.55",-,-,"23,350.00","1,495",1.70,1.75,65,-0.20,1.75,72.41,"62,406",268,"2,713",
,3,-7,9,-,"2,211.20",26.20,65,"2,238.85","2,348.00",65,"23,400.00","2,730",1.70,1.75,"2,470",-0.25,1.75,70.96,"88,952","1,903","6,038",
,3,-,2,-,"2,154.50",65.70,65,"2,196.85","2,296.80",65,"23,450.00","2,730",1.75,1.80,"3,705",-0.30,1.80,69.74,"73,884","1,060","3,762",
,70,-13,27,76.47,"2,193.65",194.05,65,"2,199.25","2,214.90",65,"23,500.00","9,035",1.70,1.85,"2,535",-0.35,1.70,67.84,"4,05,182","17,164","59,890",
,3,-,-,-,"2,388.05",-6.10,390,"2,097.40","2,197.15",390,"23,550.00","1,950",1.80,1.90,65,-0.25,1.85,67.05,"91,465","3,775","7,448",
,6,-6,15,59.77,"2,090.00",225.00,65,"2,038.15","2,128.55",65,"23,600.00",975,1.90,1.95,65,-0.30,1.90,65.80,"1,57,527","7,615","15,564",
,4,-,-,-,"2,317.30",-,390,"1,997.70","2,097.20",390,"23,650.00","2,600",2.00,2.05,"1,495",-0.35,2.00,64.73,"82,975","2,877","6,086",
,5,-2,6,-,"1,893.00",38.00,65,"1,973.25","2,041.20",65,"23,700.00",65,2.05,2.10,65,-0.40,2.00,63.26,"1,47,502","5,281","16,719",
,3,-,-,-,"2,191.50",-4.70,390,"1,898.05","1,997.35",390,"23,750.00","3,510",2.20,2.25,65,-0.30,2.20,62.51,"1,20,797","2,260","5,575",
,8,-2,6,-,"1,800.00",35.00,65,"1,860.60","1,930.60",65,"23,800.00","1,755",2.35,2.45,260,-0.30,2.35,61.52,"2,05,381",16,"17,207",
,3,-,7,-,"1,664.50",-455.55,130,"1,798.85","1,897.60",390,"23,850.00","4,225",2.45,2.65,65,-0.35,2.40,60.19,"1,09,546",714,"4,001",
,4,-6,8,-,"1,698.00",18.00,65,"1,774.15","1,836.95",65,"23,900.00","1,235",2.45,2.55,65,-0.40,2.50,59.00,"1,80,258","4,703","11,898",
,6,3,7,-,"1,565.10",-451.80,130,"1,692.40","1,797.75",390,"23,950.00",715,2.55,2.75,65,-0.45,2.55,57.64,"1,49,676","4,473","6,676",
,424,-144,503,69.39,"1,700.00",218.45,130,"1,700.25","1,712.30",130,"24,000.00",195,2.85,2.90,"3,055",-0.40,2.85,56.95,"10,37,416","55,039","1,66,422",
,4,1,3,-,"1,477.65",-442.20,130,"1,645.55","1,661.95",130,"24,050.00","1,755",2.80,3.00,650,-0.50,2.80,55.29,"1,54,274","2,388","6,456",
,14,-4,10,-,"1,492.00",12.00,65,"1,597.65","1,611.85",130,"24,100.00","1,755",2.85,3.05,"1,755",-0.55,2.90,54.02,"2,68,596","9,366","22,522",
,6,1,1,-,"1,382.50",-445.35,65,"1,547.65","1,561.90",130,"24,150.00","1,820",3.10,3.30,"1,755",-0.55,3.15,53.08,"1,32,326","4,546","6,420",
