date,equity,equity_mid,cash,unrealized_pnl,realized_pnl,peak,drawdown,drawdown_pct,daily_pnl,open_positions
2026-02-05T10:00:00Z,100000.00,100000.00,100000.00,0.00,0.00,100000.00,0.00,0.00,0.00,0
2026-02-06T10:00:00Z,100000.00,100000.00,100000.00,0.00,0.00,100000.00,0.00,0.00,0.00,0
2026-02-10T10:00:00Z,100000.00,100000.00,100000.00,0.00,0.00,100000.00,0.00,0.00,0.00,0
2026-02-11T10:00:00Z,100000.00,100000.00,100000.00,0.00,0.00,100000.00,0.00,0.00,0.00,0
2026-02-12T10:00:00Z,100000.00,100000.00,100000.00,0.00,0.00,100000.00,0.00,0.00,0.00,0
2026-02-13T10:00:00Z,100000.00,100000.00,100000.00,0.00,0.00,100000.00,0.00,0.00,0.00,0
2026-02-16T10:00:00Z,100000.00,100000.00,100000.00,0.00,0.00,100000.00,0.00,0.00,0.00,0
