CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,5,2,5,-,"2,629.25",205.15,65,"2,605.85","2,696.40",195,"23,100.00","2,925",2.90,3.00,"4,745",-2.95,2.90,32.80,"95,934","21,864","36,888",
,45,-,1,-,"2,583.40",34.80,650,"2,532.95","2,647.10",650,"23,150.00",130,2.85,3.10,390,-3.20,3.00,32.36,"2,780",754,"1,360",
,4,-,2,-,"2,542.30",17.15,650,"2,483.30","2,601.05",650,"23,200.00","2,275",3.00,3.05,"4,095",-3.25,3.05,31.85,"38,045","12,421","15,516",
,2,-,1,-,"2,480.90",7.95,650,"2,433.50","2,550.55",650,"23,250.00",260,2.85,3.20,390,-3.65,3.05,31.27,"2,190",180,655,
,42,-,1,-,"2,430.00",30.75,780,"2,383.80","2,452.85",65,"23,300.00",65,3.05,3.10,195,-3.60,3.00,30.63,"37,662","5,896","16,109",
,2,-,1,-,"2,381.35",18.20,650,"2,334.15","2,449.05",650,"23,350.00",650,3.05,3.25,585,-3.70,3.25,30.36,"4,731",686,"1,214",
,24,-2,2,-,"2,338.85",15.40,650,"2,284.60","2,368.45",650,"23,400.00",65,3.20,3.30,65,-3.90,3.20,29.72,"31,257","5,584","10,070",
,3,-,2,-,"2,281.65",5.45,650,"2,234.70","2,351.05",650,"23,450.00","1,300",3.05,3.45,195,-4.10,3.45,29.42,"2,331",187,701,
,"7,686",-73,953,-,"2,244.50",23.05,130,"2,231.20","2,244.05",130,"23,500.00",65,3.40,3.45,520,-4.40,3.45,28.84,"1,07,002","22,819","56,191",
,3,1,2,-,"2,187.95",22.80,650,"2,135.40","2,251.25",455,"23,550.00",195,3.35,3.60,65,-4.60,3.60,28.41,"1,464",354,713,
,14,-1,2,-,"2,133.85",15.75,650,"2,085.75","2,201.25","1,755","23,600.00",195,3.45,3.65,585,-4.80,3.65,27.87,"25,255","2,794","6,080",
